Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,"Tuesday, Apr 4",boxscore,CHW,,DET,L,3,6,,0-1,4,1.5,Verlander,Quintana,Rodriguez,3:30,D,"36,534",-
2,"Thursday, Apr 6",boxscore,CHW,,DET,W,11,2,,1-1,3,1.5,Shields,Boyd,,3:31,D,"10,842",+
3,"Friday, Apr 7",boxscore,CHW,,MIN,L,1,3,,1-2,4,2.5,Hughes,Holland,Kintzler,2:59,N,"14,004",-
4,"Saturday, Apr 8",boxscore,CHW,,MIN,W,6,2,,2-2,4,1.5,Gonzalez,Mejia,,2:56,D,"23,024",+
5,"Sunday, Apr 9",boxscore,CHW,,MIN,L,1,4,,2-3,4,2.5,Santana,Quintana,Kintzler,3:07,D,"24,074",-
6,"Tuesday, Apr 11",boxscore,CHW,@,CLE,L-wo,1,2,10,2-4,4,2.5,Shaw,Kahnle,,3:37,D,"35,002",--
7,"Wednesday, Apr 12",boxscore,CHW,@,CLE,W,2,1,,3-4,4,2.5,Holland,Salazar,Robertson,2:58,N,"15,628",+
8,"Thursday, Apr 13",boxscore,CHW,@,CLE,W,10,4,,4-4,3,1.5,Swarzak,Tomlin,,3:32,N,"15,060",++
9,"Friday, Apr 14",boxscore,CHW,@,MIN,W,2,1,,5-4,3,1.5,Jennings,Pressly,Robertson,3:06,N,"18,466",+++
10,"Saturday, Apr 15",boxscore,CHW,@,MIN,L,0,6,,5-5,3,1.5,Santana,Quintana,,2:26,D,"25,938",-
11,"Sunday, Apr 16",boxscore,CHW,@,MIN,W,3,1,10,6-5,3,1.5,Jones,Pressly,Robertson,3:15,D,"19,511",+
12,"Monday, Apr 17",boxscore,CHW,@,NYY,L,4,7,,6-6,3,2,Montgomery,Holland,Chapman,2:49,N,"28,181",-
13,"Tuesday, Apr 18",boxscore,CHW,@,NYY,W,4,1,,7-6,2,1,Gonzalez,Severino,Robertson,2:16,N,"30,075",+
14,"Wednesday, Apr 19",boxscore,CHW,@,NYY,L,1,9,,7-7,2,1,Tanaka,Covey,,2:40,N,"30,014",-
15,"Friday, Apr 21",boxscore,CHW,,CLE,L,0,3,,7-8,4,1.5,Kluber,Quintana,,2:45,N,"18,159",--
16,"Saturday, Apr 22",boxscore,CHW,,CLE,L,0,7,,7-9,4,2.5,Carrasco,Pelfrey,,3:09,N,"32,044",---
17,"Sunday, Apr 23",boxscore,CHW,,CLE,W,6,2,,8-9,3,1.5,Holland,Salazar,,3:12,D,"24,444",+
18,"Monday, Apr 24",boxscore,CHW,,KCR,W,12,1,,9-9,3,1,Gonzalez,Vargas,,2:47,N,"11,484",++
19,"Tuesday, Apr 25",boxscore,CHW,,KCR,W,10,5,,10-9,2,1,Jennings,Duffy,,3:21,N,"14,591",+++
20,"Wednesday, Apr 26",boxscore,CHW,,KCR,W,5,2,,11-9,1,Tied,Quintana,Karns,Robertson,2:58,D,"18,218",++++
21,"Friday, Apr 28",boxscore,CHW,@,DET,W,7,3,,12-9,1,up 0.5,Swarzak,Wilson,,3:25,N,"26,049",+++++
22,"Saturday, Apr 29",boxscore,CHW,@,DET,W,6,4,10,13-9,1,up 0.5,Robertson,Wilson,,3:36,D,"36,217",++++++
23,"Sunday, Apr 30",boxscore,CHW,@,DET,L,3,7,,13-10,2,0.5,Zimmermann,Gonzalez,,3:24,D,"26,045",-
Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
24,"Monday, May 1",boxscore,CHW,@,KCR,L,1,6,,13-11,2,0.5,Vargas,Covey,,2:36,N,"20,148",--
25,"Tuesday, May 2",boxscore,CHW,@,KCR,W,6,0,,14-11,1,up 0.5,Quintana,Duffy,,2:43,N,"18,604",+
26,"Wednesday, May 3",boxscore,CHW,@,KCR,L,1,6,,14-12,3,0.5,Karns,Pelfrey,,2:43,N,"22,298",-
27,"Thursday, May 4",boxscore,CHW,@,KCR,W,8,3,,15-12,1,Tied,Holland,Kennedy,,3:00,D,"36,525",+
28,"Friday, May 5",boxscore,CHW,@,BAL,L,2,4,,15-13,2,0.5,Ynoa,Gonzalez,Brach,3:17,N,"20,302",-
29,"Saturday, May 6",boxscore,CHW,@,BAL,L,5,6,,15-14,3,1,Bundy,Covey,O'Day,3:04,N,"28,718",--
30,"Sunday, May 7",boxscore,CHW,@,BAL,L,0,4,,15-15,3,2,Tillman,Quintana,Brach,3:04,D,"31,806",---
31,"Tuesday, May 9",boxscore,CHW,,MIN,L,2,7,,15-16,4,2.5,Santiago,Pelfrey,,2:58,N,"14,498",----
32,"Thursday, May 11",boxscore,CHW,,MIN,L,6,7,,15-17,4,2.5,Pressly,Holland,Kintzler,3:27,N,"16,084",-----
33,"Friday, May 12",boxscore,CHW,,SDP,L,3,6,,15-18,4,3.5,Chacin,Gonzalez,Maurer,3:16,N,"24,194",------
34,"Saturday, May 13",boxscore,CHW,,SDP,W-wo,5,4,,16-18,4,3.5,Robertson,Hand,,3:16,N,"29,111",+
35,"Sunday, May 14",boxscore,CHW,,SDP,W,9,3,,17-18,4,2.5,Ynoa,Buchter,,3:16,D,"22,518",++
36,"Monday, May 15",boxscore,CHW,@,LAA,L,3,5,,17-19,4,3,Chavez,Pelfrey,Norris,3:01,N,"29,445",-
37,"Tuesday, May 16",boxscore,CHW,@,LAA,L-wo,6,7,11,17-20,4,3,Petit,Robertson,,4:01,N,"36,089",--
38,"Wednesday, May 17",boxscore,CHW,@,LAA,L,8,12,,17-21,4,3.5,Shoemaker,Gonzalez,,3:28,N,"33,234",---
39,"Thursday, May 18",boxscore,CHW,@,SEA,L-wo,4,5,,17-22,4,4,Vincent,Jennings,,3:02,N,"17,757",----
