Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,"Monday, Apr 3",boxscore,LAA,@,OAK,L,2,4,,0-1,3,1,Graveman,Nolasco,Casilla,2:56,N,"36,067",-
2,"Tuesday, Apr 4",boxscore,LAA,@,OAK,W,7,6,,1-1,2,1,Bailey,Dull,Bedrosian,3:17,N,"11,225",+
3,"Wednesday, Apr 5",boxscore,LAA,@,OAK,W,5,0,,2-1,2,1,Ramirez,Cotton,,3:15,N,"13,405",++
4,"Thursday, Apr 6",boxscore,LAA,@,OAK,L,1,5,,2-2,2,1,Triggs,Skaggs,,2:44,D,"13,292",-
5,"Friday, Apr 7",boxscore,LAA,,SEA,W,5,1,,3-2,1,Tied,Chavez,Gallardo,,2:56,N,"43,911",+
6,"Saturday, Apr 8",boxscore,LAA,,SEA,W,5,4,,4-2,1,up 1.0,Ramirez,Scribner,Bedrosian,3:05,N,"42,668",++
7,"Sunday, Apr 9",boxscore,LAA,,SEA,W-wo,10,9,,5-2,1,up 1.0,Bailey,Diaz,,3:27,D,"37,175",+++
8,"Tuesday, Apr 11",boxscore,LAA,,TEX,W-wo,6,5,10,6-2,1,up 1.5,Bedrosian,Jeffress,,3:33,N,"34,044",++++
9,"Wednesday, Apr 12",boxscore,LAA,,TEX,L,3,8,,6-3,1,up 0.5,Griffin,Chavez,Leclerc,2:59,N,"34,599",-
10,"Thursday, Apr 13",boxscore,LAA,,TEX,L,3,8,,6-4,1,Tied,Darvish,Nolasco,,3:14,D,"30,255",--
11,"Friday, Apr 14",boxscore,LAA,@,KCR,L,1,7,,6-5,2,1,Duffy,Ramirez,,2:37,N,"26,838",---
12,"Saturday, Apr 15",boxscore,LAA,@,KCR,L,2,3,,6-6,2,2,Soria,Alvarez,Herrera,3:16,N,"24,162",----
13,"Sunday, Apr 16",boxscore,LAA,@,KCR,L-wo,0,1,,6-7,2,2.5,Herrera,Parker,,2:37,D,"27,950",-----
14,"Monday, Apr 17",boxscore,LAA,@,HOU,L,0,3,,6-8,2,3.5,Morton,Chavez,Giles,2:36,N,"23,501",------
15,"Tuesday, Apr 18",boxscore,LAA,@,HOU,W,5,2,,7-8,2,2.5,Nolasco,Musgrove,Bedrosian,3:05,N,"21,760",+
16,"Wednesday, Apr 19",boxscore,LAA,@,HOU,L,1,5,,7-9,3,3.5,Keuchel,Ramirez,,2:47,N,"24,028",-
17,"Thursday, Apr 20",boxscore,LAA,@,HOU,L,1,2,,7-10,3,4.5,McCullers,Shoemaker,Devenski,2:37,D,"23,173",--
18,"Friday, Apr 21",boxscore,LAA,,TOR,L,7,8,13,7-11,4,5.5,Tepera,Chavez,Biagini,5:36,N,"40,176",---
19,"Saturday, Apr 22",boxscore,LAA,,TOR,W,5,4,,8-11,4,4.5,Skaggs,Lawrence,Norris,2:35,N,"41,345",+
20,"Sunday, Apr 23",boxscore,LAA,,TOR,L,2,6,,8-12,4,5.5,Stroman,Guerra,,2:51,D,"35,034",-
21,"Monday, Apr 24",boxscore,LAA,,TOR,W,2,1,,9-12,4,5,Chavez,Liriano,Norris,3:02,N,"25,304",+
22,"Tuesday, Apr 25",boxscore,LAA,,OAK,W-wo,2,1,11,10-12,3,5,Pounders,Madson,,3:12,N,"30,124",++
23,"Wednesday, Apr 26",boxscore,LAA,,OAK,W,8,5,,11-12,2,4,Shoemaker,Manaea,Norris,3:30,N,"30,248",+++
24,"Thursday, Apr 27",boxscore,LAA,,OAK,W,2,1,,12-12,2,3,Nolasco,Graveman,Norris,2:30,N,"37,603",++++
25,"Friday, Apr 28",boxscore,LAA,@,TEX,W,6,3,,13-12,2,3,Guerra,Jeffress,Alvarez,3:12,N,"28,968",+++++
26,"Saturday, Apr 29",boxscore,LAA,@,TEX,L,3,6,,13-13,2,3,Darvish,Chavez,,3:03,N,"44,597",-
27,"Sunday, Apr 30",boxscore,LAA,@,TEX,W,5,2,,14-13,2,3,Ramirez,Perez,Norris,3:23,D,"39,804",+
Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
