Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,"Monday, Apr 3",boxscore,OAK,,LAA,W,4,2,,1-0,1,Tied,Graveman,Nolasco,Casilla,2:56,N,"36,067",+
2,"Tuesday, Apr 4",boxscore,OAK,,LAA,L,6,7,,1-1,2,1,Bailey,Dull,Bedrosian,3:17,N,"11,225",-
3,"Wednesday, Apr 5",boxscore,OAK,,LAA,L,0,5,,1-2,3,2,Ramirez,Cotton,,3:15,N,"13,405",--
4,"Thursday, Apr 6",boxscore,OAK,,LAA,W,5,1,,2-2,2,1,Triggs,Skaggs,,2:44,D,"13,292",+
5,"Friday, Apr 7",boxscore,OAK,@,TEX,L,5,10,,2-3,3,1,Claudio,Alcantara,,2:56,N,"34,235",-
6,"Saturday, Apr 8",boxscore,OAK,@,TEX,W,6,1,,3-3,2,1,Graveman,Darvish,,2:59,N,"44,410",+
7,"Sunday, Apr 9",boxscore,OAK,@,TEX,L,1,8,,3-4,3,2,Perez,Manaea,,3:16,D,"36,905",-
8,"Monday, Apr 10",boxscore,OAK,@,KCR,W,2,0,,4-4,2,1.5,Cotton,Kennedy,Doolittle,2:50,D,"40,019",+
9,"Wednesday, Apr 12",boxscore,OAK,@,KCR,W,8,3,,5-4,3,1,Triggs,Hammel,,3:07,N,"24,380",++
10,"Thursday, Apr 13",boxscore,OAK,@,KCR,L,1,3,,5-5,3,1,Vargas,Hahn,Herrera,2:39,N,"22,160",-
11,"Friday, Apr 14",boxscore,OAK,,HOU,L,2,7,,5-6,3,2,Keuchel,Madson,,3:07,N,"15,385",--
12,"Saturday, Apr 15",boxscore,OAK,,HOU,L,6,10,,5-7,3,3,Harris,Casilla,,3:55,D,"20,140",---
13,"Monday, Apr 17",boxscore,OAK,,TEX,L,0,7,,5-8,4,4,Griffin,Cotton,,2:46,N,"10,406",----
14,"Tuesday, Apr 18",boxscore,OAK,,TEX,W,4,2,,6-8,3,3,Triggs,Darvish,Casilla,2:48,N,"12,091",+
15,"Wednesday, Apr 19",boxscore,OAK,,TEX,W,9,1,,7-8,2,3,Hahn,Perez,,2:47,D,"14,031",++
16,"Thursday, Apr 20",boxscore,OAK,,SEA,W,9,6,,8-8,2,3,Dull,Scribner,,3:09,N,"10,707",+++
17,"Friday, Apr 21",boxscore,OAK,,SEA,W,3,1,,9-8,2,3,Manaea,Iwakuma,Casilla,2:51,N,"15,255",++++
18,"Saturday, Apr 22",boxscore,OAK,,SEA,W,4,3,,10-8,2,2,Cotton,Miranda,Madson,3:07,D,"20,722",+++++
19,"Sunday, Apr 23",boxscore,OAK,,SEA,L,1,11,,10-9,2,3,Gallardo,Triggs,,3:11,D,"24,165",-
20,"Tuesday, Apr 25",boxscore,OAK,@,LAA,L-wo,1,2,11,10-10,2,4,Pounders,Madson,,3:12,N,"30,124",--
21,"Wednesday, Apr 26",boxscore,OAK,@,LAA,L,5,8,,10-11,2,4,Shoemaker,Manaea,Norris,3:30,N,"30,248",---
22,"Thursday, Apr 27",boxscore,OAK,@,LAA,L,1,2,,10-12,3,4,Nolasco,Graveman,Norris,2:30,N,"37,603",----
