Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,"Monday, Apr 3",boxscore,TOR,@,BAL,L-wo,2,3,11,0-1,4,1,Wilson,Grilli,,3:41,D,"45,667",-
2,"Wednesday, Apr 5",boxscore,TOR,@,BAL,L,1,3,,0-2,5,2,Bundy,Happ,Britton,2:23,N,"16,086",--
3,"Thursday, Apr 6",boxscore,TOR,@,TBR,W,5,2,,1-2,4,1.5,Stroman,Snell,Grilli,2:56,N,"12,678",+
4,"Friday, Apr 7",boxscore,TOR,@,TBR,L,8,10,,1-3,4,2.5,Cedeno,Howell,Colome,3:53,N,"12,842",-
5,"Saturday, Apr 8",boxscore,TOR,@,TBR,L-wo,2,3,11,1-4,4,3.5,Ramirez,Lawrence,,3:55,N,"21,838",--
6,"Sunday, Apr 9",boxscore,TOR,@,TBR,L,2,7,,1-5,5,3.5,Odorizzi,Estrada,,2:57,D,"15,341",---
7,"Tuesday, Apr 11",boxscore,TOR,,MIL,L,3,4,,1-6,5,3.5,Peralta,Happ,Feliz,3:31,N,"48,456",----
8,"Wednesday, Apr 12",boxscore,TOR,,MIL,L,0,2,,1-7,5,4.5,Anderson,Stroman,Feliz,2:14,N,"29,919",-----
9,"Thursday, Apr 13",boxscore,TOR,,BAL,L,1,2,,1-8,5,5.5,Gausman,Liriano,Britton,2:45,N,"32,957",------
10,"Friday, Apr 14",boxscore,TOR,,BAL,L,4,6,,1-9,5,6.5,Miley,Sanchez,Britton,3:18,N,"39,547",-------
11,"Saturday, Apr 15",boxscore,TOR,,BAL,W-wo,2,1,,2-9,5,5.5,Osuna,Wilson,,2:39,D,"40,743",+
12,"Sunday, Apr 16",boxscore,TOR,,BAL,L,4,11,,2-10,5,6.5,Bundy,Happ,,3:30,D,"38,188",-
13,"Tuesday, Apr 18",boxscore,TOR,,BOS,L,7,8,,2-11,5,6.5,Johnson,Stroman,,3:48,N,"29,281",--
14,"Wednesday, Apr 19",boxscore,TOR,,BOS,W,3,0,,3-11,5,6.5,Liriano,Porcello,Osuna,2:45,N,"30,842",+
15,"Thursday, Apr 20",boxscore,TOR,,BOS,L,1,4,10,3-12,5,7.5,Kimbrel,Grilli,,3:07,D,"44,283",-
16,"Friday, Apr 21",boxscore,TOR,@,LAA,W,8,7,13,4-12,5,7.5,Tepera,Chavez,Biagini,5:36,N,"40,176",+
17,"Saturday, Apr 22",boxscore,TOR,@,LAA,L,4,5,,4-13,5,8.5,Skaggs,Lawrence,Norris,2:35,N,"41,345",-
18,"Sunday, Apr 23",boxscore,TOR,@,LAA,W,6,2,,5-13,5,7.5,Stroman,Guerra,,2:51,D,"35,034",+
19,"Monday, Apr 24",boxscore,TOR,@,LAA,L,1,2,,5-14,5,8.5,Chavez,Liriano,Norris,3:02,N,"25,304",-
