Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,"Monday, Apr 3",boxscore,ATL,@,NYM,L,0,6,,0-1,4,1,Robles,Krol,,3:13,D,"44,384",-
2,"Wednesday, Apr 5",boxscore,ATL,@,NYM,W,3,1,12,1-1,2,1,Johnson,Montero,,3:51,N,"28,113",+
3,"Thursday, Apr 6",boxscore,ATL,@,NYM,L,2,6,,1-2,3,1,Harvey,Garcia,,2:28,N,"23,100",-
4,"Friday, Apr 7",boxscore,ATL,@,PIT,L,4,5,,1-3,4,2,Nova,Foltynewicz,Watson,3:18,D,"36,484",--
5,"Saturday, Apr 8",boxscore,ATL,@,PIT,L,4,6,,1-4,5,2,Kuhl,Dickey,Watson,3:00,N,"31,756",---
6,"Sunday, Apr 9",boxscore,ATL,@,PIT,L-wo,5,6,10,1-5,5,2,Rivero,Ramirez,,3:14,D,"22,713",----
7,"Tuesday, Apr 11",boxscore,ATL,@,MIA,L,4,8,,1-6,5,3.5,Straily,Colon,,2:54,N,"36,519",-----
8,"Wednesday, Apr 12",boxscore,ATL,@,MIA,W,5,4,,2-6,5,3.5,Vizcaino,Ramos,Johnson,2:51,N,"16,808",+
9,"Friday, Apr 14",boxscore,ATL,,SDP,W,5,2,,3-6,4,3,Teheran,Chacin,Johnson,2:57,N,"41,149",++
10,"Saturday, Apr 15",boxscore,ATL,,SDP,W,4,2,,4-6,4,2,Dickey,Richard,Johnson,2:20,N,"41,149",+++
11,"Sunday, Apr 16",boxscore,ATL,,SDP,W,9,2,,5-6,4,1.5,Colon,Cahill,,2:46,D,"37,147",++++
12,"Monday, Apr 17",boxscore,ATL,,SDP,W-wo,5,4,,6-6,4,1,Johnson,Maurer,,2:48,N,"24,516",+++++
13,"Tuesday, Apr 18",boxscore,ATL,,WSN,L,1,3,,6-7,4,2,Scherzer,Foltynewicz,Kelley,3:09,N,"21,834",-
14,"Wednesday, Apr 19",boxscore,ATL,,WSN,L,4,14,,6-8,4,3,Ross,Teheran,,3:32,N,"22,101",--
15,"Thursday, Apr 20",boxscore,ATL,,WSN,L,2,3,,6-9,4,4,Strasburg,Dickey,Kelley,2:41,N,"27,498",---
16,"Friday, Apr 21",boxscore,ATL,@,PHI,L,3,4,,6-10,5,5,Hellickson,Colon,Neris,2:38,N,"24,189",----
17,"Saturday, Apr 22",boxscore,ATL,@,PHI,L-wo,3,4,10,6-11,5,6,Gomez,Johnson,,3:32,N,"31,334",-----
18,"Sunday, Apr 23",boxscore,ATL,@,PHI,L,2,5,,6-12,5,7,Rodriguez,Vizcaino,,2:38,D,"28,632",------
19,"Wednesday, Apr 26",boxscore,ATL,@,NYM,W,8,2,,7-12,5,7,Teheran,Gsellman,,3:19,N,"22,819",+
20,"Thursday, Apr 27",boxscore,ATL,@,NYM,W,7,5,,8-12,4,7,Dickey,Harvey,,2:56,D,"23,243",++
21,"Friday, Apr 28",boxscore,ATL,@,MIL,W,10,8,,9-12,4,6,Ramirez,Feliz,Johnson,3:18,N,"26,453",+++
22,"Saturday, Apr 29",boxscore,ATL,@,MIL,W,11,3,,10-12,3,5,Garcia,Nelson,,3:06,N,"30,026",++++
23,"Sunday, Apr 30",boxscore,ATL,@,MIL,L,3,4,,10-13,4,6,Garza,Foltynewicz,Feliz,2:35,D,"24,395",-
Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
24,"Monday, May 1",boxscore,ATL,,NYM,L,5,7,,10-14,5,6.5,Gsellman,Teheran,Familia,3:00,N,"21,668",--
25,"Tuesday, May 2",boxscore,ATL,,NYM,W,9,7,,11-14,3,5.5,Dickey,Harvey,Johnson,2:55,N,"21,359",+
26,"Wednesday, May 3",boxscore,ATL,,NYM,L,5,16,,11-15,5,6.5,deGrom,Colon,,3:34,N,"22,656",-
27,"Friday, May 5",boxscore,ATL,,STL,L,0,10,,11-16,5,8,Lynn,Foltynewicz,,3:13,N,"34,465",--
28,"Saturday, May 6",boxscore,ATL,,STL,L,3,5,,11-17,5,9,Leake,Teheran,Oh,2:59,N,"40,706",---
29,"Sunday, May 7",boxscore,ATL,,STL,L,4,6,14,11-18,5,9,Tuivailala,Collmenter,Siegrist,4:06,D,"40,200",----
30,"Tuesday, May 9",boxscore,ATL,@,HOU,L,3,8,,11-19,5,8.5,Morton,Colon,,2:41,N,"28,724",-----
