Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,"Monday, Apr 3",boxscore,MIL,,COL,L,5,7,,0-1,2,1,Estevez,Marinez,Holland,3:26,D,"43,336",-
2,"Tuesday, Apr 4",boxscore,MIL,,COL,L,5,6,,0-2,5,1,Anderson,Davies,Holland,3:34,N,"21,458",--
3,"Wednesday, Apr 5",boxscore,MIL,,COL,W,6,1,,1-2,4,0.5,Peralta,Chatwood,Feliz,3:03,N,"21,824",+
4,"Thursday, Apr 6",boxscore,MIL,,COL,L,1,2,,1-3,4,1.5,Dunn,Feliz,Holland,3:07,D,"23,828",-
5,"Friday, Apr 7",boxscore,MIL,,CHC,W-wo,2,1,11,2-3,3,1.5,Hughes,Montgomery,,3:58,N,"28,728",+
6,"Saturday, Apr 8",boxscore,MIL,,CHC,L,6,11,,2-4,5,1.5,Hendricks,Marinez,,3:28,N,"43,080",-
7,"Sunday, Apr 9",boxscore,MIL,,CHC,L,4,7,,2-5,5,2.5,Arrieta,Davies,,3:00,D,"38,483",--
8,"Tuesday, Apr 11",boxscore,MIL,@,TOR,W,4,3,,3-5,4,3,Peralta,Happ,Feliz,3:31,N,"48,456",+
9,"Wednesday, Apr 12",boxscore,MIL,@,TOR,W,2,0,,4-5,3,3,Anderson,Stroman,Feliz,2:14,N,"29,919",++
10,"Thursday, Apr 13",boxscore,MIL,@,CIN,W,5,1,,5-5,3,2,Nelson,Arroyo,,2:25,N,"13,574",+++
11,"Friday, Apr 14",boxscore,MIL,@,CIN,W,10,4,,6-5,3,1,Milone,Wood,,3:21,N,"23,850",++++
12,"Saturday, Apr 15",boxscore,MIL,@,CIN,L,5,7,,6-6,3,2,Iglesias,Torres,Lorenzen,3:10,D,"31,008",-
13,"Sunday, Apr 16",boxscore,MIL,@,CIN,W,4,2,,7-6,2,1,Peralta,Romano,Feliz,2:56,D,"12,625",+
14,"Monday, Apr 17",boxscore,MIL,@,CHC,W,6,3,,8-6,2,0.5,Anderson,Lackey,Feliz,3:00,N,"38,636",++
15,"Tuesday, Apr 18",boxscore,MIL,@,CHC,L,7,9,,8-7,2,1.5,Grimm,Hughes,Davis,3:00,N,"39,026",-
16,"Wednesday, Apr 19",boxscore,MIL,@,CHC,L-wo,4,7,,8-8,3,1.5,Davis,Feliz,,3:30,D,"34,864",--
17,"Thursday, Apr 20",boxscore,MIL,,STL,W,7,5,,9-8,2,0.5,Davies,Martinez,Barnes,3:08,N,"26,451",+
18,"Friday, Apr 21",boxscore,MIL,,STL,L,3,6,,9-9,3,1,Wainwright,Peralta,Oh,2:56,N,"23,126",-
19,"Saturday, Apr 22",boxscore,MIL,,STL,L,1,4,,9-10,3,2,Lynn,Torres,Oh,3:16,N,"30,865",--
20,"Sunday, Apr 23",boxscore,MIL,,STL,L,4,6,,9-11,4,2,Leake,Nelson,Oh,3:15,D,"31,158",---
21,"Monday, Apr 24",boxscore,MIL,,CIN,W,11,7,,10-11,3,2,Torres,Garrett,,3:24,N,"23,943",+
22,"Tuesday, Apr 25",boxscore,MIL,,CIN,W,9,1,,11-11,2,2,Davies,Feldman,Milone,2:59,N,"28,449",++
23,"Wednesday, Apr 26",boxscore,MIL,,CIN,W,9,4,,12-11,2,1,Peralta,Davis,,2:53,D,"19,062",+++
24,"Friday, Apr 28",boxscore,MIL,,ATL,L,8,10,,12-12,3,1,Ramirez,Feliz,Johnson,3:18,N,"26,453",-
25,"Saturday, Apr 29",boxscore,MIL,,ATL,L,3,11,,12-13,3,2,Garcia,Nelson,,3:06,N,"30,026",--
26,"Sunday, Apr 30",boxscore,MIL,,ATL,W,4,3,,13-13,2,1,Garza,Foltynewicz,Feliz,2:35,D,"24,395",+
Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
27,"Monday, May 1",boxscore,MIL,@,STL,W,7,5,10,14-13,1,Tied,Drake,Oh,Feliz,3:09,N,"36,339",++
28,"Tuesday, May 2",boxscore,MIL,@,STL,L,1,2,,14-14,2,1,Martinez,Peralta,Rosenthal,2:47,N,"38,616",-
29,"Thursday, May 4",boxscore,MIL,@,STL,W,5,4,,15-14,2,1.5,Drake,Bowman,Feliz,3:29,N,"36,250",+
30,"Friday, May 5",boxscore,MIL,@,PIT,L,0,4,,15-15,3,1.5,LeBlanc,Scahill,,2:41,N,"21,129",-
31,"Saturday, May 6",boxscore,MIL,@,PIT,L-wo,1,2,10,15-16,4,1.5,Watson,Torres,,2:58,N,"22,902",--
32,"Sunday, May 7",boxscore,MIL,@,PIT,W,6,2,,16-16,4,1.5,Davies,Glasnow,,3:07,D,"25,108",+
33,"Tuesday, May 9",boxscore,MIL,,BOS,W,11,7,,17-16,3,1.5,Torres,Pomeranz,,3:38,N,"22,524",++
34,"Wednesday, May 10",boxscore,MIL,,BOS,W,7,4,,18-16,3,1.5,Scahill,Kendrick,,3:37,N,"23,095",+++
35,"Thursday, May 11",boxscore,MIL,,BOS,L,1,4,,18-17,3,2,Kimbrel,Feliz,,3:29,D,"26,499",-
36,"Friday, May 12",boxscore,MIL,,NYM,W,7,4,,19-17,3,1,Garza,Harvey,Hughes,3:08,N,"28,306",+
37,"Saturday, May 13",boxscore,MIL,,NYM,W,11,4,,20-17,2,1,Davies,Gsellman,,3:27,N,"33,849",++
38,"Sunday, May 14",boxscore,MIL,,NYM,W,11,9,,21-17,2,1,Feliz,Reed,Knebel,3:33,D,"30,623",+++
39,"Monday, May 15",boxscore,MIL,@,SDP,L-wo,5,6,10,21-18,2,1.5,Torres,Drake,,3:37,N,"15,866",-
40,"Tuesday, May 16",boxscore,MIL,@,SDP,W,6,2,,22-18,2,0.5,Nelson,Richard,,2:41,N,"16,657",+
41,"Wednesday, May 17",boxscore,MIL,@,SDP,W,3,1,,23-18,1,up 0.5,Barnes,Maurer,Knebel,2:51,N,"17,356",++
42,"Thursday, May 18",boxscore,MIL,@,SDP,W,4,2,,24-18,1,up 1.0,Davies,Quackenbush,Knebel,3:01,D,"14,359",+++
43,"Friday, May 19",boxscore,MIL,@,CHC,W,6,3,,25-18,1,up 2.0,Peralta,Montgomery,Torres,3:27,D,"36,923",++++
44,"Sunday, May 21",boxscore,MIL,@,CHC,L,6,13,,25-19,1,up 1.5,Arrieta,Anderson,,3:32,D,"41,671",-
45,"Tuesday, May 23",boxscore,MIL,,TOR,L,3,4,,25-20,1,up 1.5,Barnes,Nelson,Osuna,3:02,N,"30,742",--
46,"Wednesday, May 24",boxscore,MIL,,TOR,L,4,8,,25-21,1,up 0.5,Stroman,Garza,,2:51,D,"26,607",---
47,"Thursday, May 25",boxscore,MIL,,ARI,L,0,4,,25-22,2,0.5,Ray,Davies,,2:45,N,"30,081",----
48,"Friday, May 26",boxscore,MIL,,ARI,L,2,4,10,25-23,2,0.5,McFarland,Peralta,Rodney,3:24,N,"25,391",-----
49,"Saturday, May 27",boxscore,MIL,,ARI,W,6,1,,26-23,1,up 0.5,Anderson,Greinke,,2:52,D,"29,746",+
50,"Sunday, May 28",boxscore,MIL,,ARI,W,9,5,,27-23,1,up 1.5,Nelson,Corbin,Barnes,3:08,D,"41,698",++
51,"Monday, May 29",boxscore,MIL,@,NYM,L,2,4,,27-24,1,up 1.5,Gsellman,Garza,Reed,2:50,D,"34,830",-
52,"Tuesday, May 30",boxscore,MIL,@,NYM,L-wo,4,5,12,27-25,1,up 1.5,Smoker,Peralta,,4:24,N,"24,457",--
53,"Wednesday, May 31",boxscore,MIL,@,NYM,W,7,1,,28-25,1,up 1.5,Guerra,deGrom,,3:17,N,"26,517",+
Gm#,June,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
54,"Thursday, Jun 1",boxscore,MIL,@,NYM,W,2,1,,29-25,1,up 1.5,Anderson,Wheeler,Knebel,3:02,D,"35,123",++
55,"Friday, Jun 2",boxscore,MIL,,LAD,L,1,2,12,29-26,1,up 1.5,Jansen,Feliz,,3:57,N,"30,140",-
56,"Saturday, Jun 3",boxscore,MIL,,LAD,L,8,10,,29-27,1,up 1.0,Morrow,Torres,Jansen,4:07,D,"34,354",--
