Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,"Sunday, Apr 2",boxscore,STL,,CHC,W-wo,4,3,,1-0,1,up 0.5,Oh,Montgomery,,3:33,N,"47,566",+
2,"Tuesday, Apr 4",boxscore,STL,,CHC,L,1,2,,1-1,1,Tied,Arrieta,Wainwright,Davis,2:57,N,"46,760",-
3,"Thursday, Apr 6",boxscore,STL,,CHC,L,4,6,,1-2,3,1,Lackey,Cecil,Davis,3:18,D,"44,039",--
4,"Friday, Apr 7",boxscore,STL,,CIN,L,0,2,,1-3,5,2,Garrett,Leake,Iglesias,2:17,N,"44,653",---
5,"Saturday, Apr 8",boxscore,STL,,CIN,W,10,4,,2-3,4,1,Wacha,Arroyo,,2:47,D,"46,558",+
6,"Sunday, Apr 9",boxscore,STL,,CIN,L,0,8,,2-4,4,2,Feldman,Martinez,,2:44,D,"45,200",-
7,"Monday, Apr 10",boxscore,STL,@,WSN,L,6,14,,2-5,4,3,Roark,Wainwright,,3:47,N,"27,413",--
8,"Tuesday, Apr 11",boxscore,STL,@,WSN,L,3,8,,2-6,5,4,Gonzalez,Lynn,,2:55,N,"30,663",---
9,"Wednesday, Apr 12",boxscore,STL,@,WSN,W,6,1,,3-6,5,4,Leake,Scherzer,,3:14,D,"31,647",+
10,"Friday, Apr 14",boxscore,STL,@,NYY,L,3,4,,3-7,5,3.5,Tanaka,Wacha,Chapman,2:54,N,"39,102",-
11,"Saturday, Apr 15",boxscore,STL,@,NYY,L,2,3,,3-8,5,4.5,Sabathia,Martinez,Clippard,3:05,D,"43,031",--
12,"Sunday, Apr 16",boxscore,STL,@,NYY,L,3,9,,3-9,5,4.5,Pineda,Wainwright,,3:17,N,"31,706",---
13,"Monday, Apr 17",boxscore,STL,,PIT,W,2,1,,4-9,5,4,Lynn,Nova,Oh,2:14,N,"40,172",+
14,"Tuesday, Apr 18",boxscore,STL,,PIT,W,2,1,,5-9,5,4,Leake,Kuhl,Oh,2:31,N,"38,806",++
15,"Wednesday, Apr 19",boxscore,STL,,PIT,W,2,1,,6-9,4,3,Wacha,Cole,Rosenthal,2:40,D,"40,182",+++
16,"Thursday, Apr 20",boxscore,STL,@,MIL,L,5,7,,6-10,5,3,Davies,Martinez,Barnes,3:08,N,"26,451",-
17,"Friday, Apr 21",boxscore,STL,@,MIL,W,6,3,,7-10,5,2.5,Wainwright,Peralta,Oh,2:56,N,"23,126",+
18,"Saturday, Apr 22",boxscore,STL,@,MIL,W,4,1,,8-10,4,2.5,Lynn,Torres,Oh,3:16,N,"30,865",++
19,"Sunday, Apr 23",boxscore,STL,@,MIL,W,6,4,,9-10,3,1.5,Leake,Nelson,Oh,3:15,D,"31,158",+++
20,"Tuesday, Apr 25",boxscore,STL,,TOR,L,5,6,11,9-11,4,3,Grilli,Socolovich,Tepera,3:46,N,"40,223",-
21,"Thursday, Apr 27 (1)",boxscore,STL,,TOR,W-wo,8,4,11,10-11,3,1.5,Bowman,Tepera,,3:32,D,"40,099",+
22,"Thursday, Apr 27 (2)",boxscore,STL,,TOR,W,6,4,,11-11,3,1.5,Wainwright,Lawrence,Rosenthal,2:56,N,"40,035",++
23,"Friday, Apr 28",boxscore,STL,,CIN,W,7,5,,12-11,2,0.5,Lynn,Adleman,Oh,3:08,N,"42,722",+++
24,"Sunday, Apr 30",boxscore,STL,,CIN,L,4,5,,12-12,2,1,Peralta,Rosenthal,Iglesias,3:20,D,"45,282",-
Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
25,"Monday, May 1",boxscore,STL,,MIL,L,5,7,10,12-13,3,1,Drake,Oh,Feliz,3:09,N,"36,339",--
26,"Tuesday, May 2",boxscore,STL,,MIL,W,2,1,,13-13,2,1,Martinez,Peralta,Rosenthal,2:47,N,"38,616",+
27,"Thursday, May 4",boxscore,STL,,MIL,L,4,5,,13-14,4,2.5,Drake,Bowman,Feliz,3:29,N,"36,250",-
28,"Friday, May 5",boxscore,STL,@,ATL,W,10,0,,14-14,3,1.5,Lynn,Foltynewicz,,3:13,N,"34,465",+
29,"Saturday, May 6",boxscore,STL,@,ATL,W,5,3,,15-14,3,0.5,Leake,Teheran,Oh,2:59,N,"40,706",++
30,"Sunday, May 7",boxscore,STL,@,ATL,W,6,4,14,16-14,2,0.5,Tuivailala,Collmenter,Siegrist,4:06,D,"40,200",+++
31,"Monday, May 8",boxscore,STL,@,MIA,W,9,4,,17-14,1,up 0.5,Martinez,Conley,Socolovich,2:47,N,"16,750",++++
32,"Tuesday, May 9",boxscore,STL,@,MIA,W,6,5,,18-14,1,up 0.5,Rosenthal,Ramos,Oh,2:56,N,"17,166",+++++
33,"Wednesday, May 10",boxscore,STL,@,MIA,W,7,5,,19-14,1,up 1.0,Tuivailala,Garcia,Oh,3:46,N,"18,614",++++++
34,"Friday, May 12",boxscore,STL,,CHC,L,2,3,,19-15,1,up 0.5,Butler,Leake,Davis,3:01,N,"47,601",-
35,"Saturday, May 13",boxscore,STL,,CHC,W,5,3,,20-15,1,up 1.0,Martinez,Lester,Oh,2:51,D,"47,882",+
36,"Sunday, May 14",boxscore,STL,,CHC,W,5,0,,21-15,1,up 1.0,Wainwright,Arrieta,,2:38,D,"47,925",++
37,"Tuesday, May 16",boxscore,STL,,BOS,L,3,6,,21-16,1,up 0.5,Rodriguez,Lynn,Kimbrel,3:21,N,"41,514",-
38,"Wednesday, May 17",boxscore,STL,,BOS,L,4,5,13,21-17,2,0.5,Abad,Tuivailala,Taylor,4:20,N,"44,365",--
39,"Friday, May 19",boxscore,STL,,SFG,L,5,6,,21-18,2,2,Morris,Oh,Melancon,3:15,N,"44,548",---
40,"Saturday, May 20",boxscore,STL,,SFG,L,1,3,13,21-19,2,2.5,Strickland,Siegrist,Melancon,3:42,N,"45,072",----
41,"Sunday, May 21",boxscore,STL,,SFG,W,8,3,,22-19,2,1.5,Wainwright,Cain,,2:53,D,"47,533",+
42,"Tuesday, May 23",boxscore,STL,@,LAD,L-wo,1,2,13,22-20,2,1.5,Fields,Broxton,,4:05,N,"41,248",-
43,"Wednesday, May 24",boxscore,STL,@,LAD,W,6,1,,23-20,2,0.5,Leake,Hill,,2:44,N,"40,653",+
44,"Thursday, May 25",boxscore,STL,@,LAD,L,3,7,,23-21,3,1,Maeda,Wacha,Ryu,3:03,N,"47,427",-
45,"Friday, May 26",boxscore,STL,@,COL,L,0,10,,23-22,3,1,Senzatela,Martinez,,2:25,N,"40,312",--
46,"Saturday, May 27",boxscore,STL,@,COL,W,3,0,,24-22,2,0.5,Wainwright,Freeland,Oh,3:15,N,"48,106",+
47,"Sunday, May 28",boxscore,STL,@,COL,L,4,8,,24-23,2,1.5,Marquez,Lynn,,2:52,D,"48,372",-
48,"Monday, May 29",boxscore,STL,,LAD,L,1,5,,24-24,2,1.5,Hill,Leake,,2:50,D,"46,241",--
49,"Tuesday, May 30",boxscore,STL,,LAD,L,4,9,,24-25,2,1.5,Morrow,Wacha,,3:55,N,"38,466",---
50,"Wednesday, May 31",boxscore,STL,,LAD,W,2,1,,25-25,2,1.5,Martinez,Stripling,Oh,2:19,N,"40,304",+
Gm#,June,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
51,"Thursday, Jun 1",boxscore,STL,,LAD,W,2,0,,26-25,2,1.5,Wainwright,McCarthy,Oh,3:07,D,"40,477",++
52,"Friday, Jun 2",boxscore,STL,@,CHC,L,2,3,,26-26,2,1.5,Strop,Rosenthal,Davis,2:47,D,"41,051",-
53,"Saturday, Jun 3",boxscore,STL,@,CHC,L,3,5,,26-27,3,1.5,Rondon,Leake,Davis,2:35,D,"41,164",--
54,"Sunday, Jun 4",boxscore,STL,@,CHC,L,6,7,,26-28,3,2.5,Strop,Bowman,Uehara,3:00,N,"39,868",---
55,"Monday, Jun 5",boxscore,STL,@,CIN,L,2,4,,26-29,3,2.5,Bonilla,Martinez,Iglesias,2:35,N,"16,325",----
56,"Tuesday, Jun 6",boxscore,STL,@,CIN,L,1,13,,26-30,4,3.5,Adleman,Wainwright,,2:47,N,"18,620",-----
57,"Wednesday, Jun 7",boxscore,STL,@,CIN,L,4,6,,26-31,4,4.5,Peralta,Cecil,Iglesias,2:45,N,"20,891",------
58,"Thursday, Jun 8",boxscore,STL,@,CIN,L,2,5,,26-32,4,4.5,Feldman,Leake,Iglesias,2:21,D,"28,917",-------
59,"Friday, Jun 9",boxscore,STL,,PHI,W,3,2,,27-32,4,4.5,Wacha,Hellickson,Oh,2:43,N,"42,971",+
60,"Saturday, Jun 10",boxscore,STL,,PHI,W,7,0,,28-32,4,3.5,Martinez,Pivetta,,2:28,D,"43,911",++
61,"Sunday, Jun 11",boxscore,STL,,PHI,W,6,5,,29-32,3,2.5,Wainwright,Nola,Oh,3:09,D,"47,325",+++
62,"Tuesday, Jun 13 (1)",boxscore,STL,,MIL,W,6,0,,30-32,3,2.5,Lynn,Suter,Lyons,3:03,D,"40,083",++++
63,"Tuesday, Jun 13 (2)",boxscore,STL,,MIL,L,5,8,,30-33,3,2.5,Hughes,Rosenthal,Knebel,3:19,N,"40,115",-
64,"Wednesday, Jun 14",boxscore,STL,,MIL,L,6,7,,30-34,3,3.5,Garza,Leake,Knebel,3:09,N,"38,061",--
65,"Thursday, Jun 15",boxscore,STL,,MIL,L,4,6,,30-35,3,4.5,Torres,Oh,Drake,3:14,N,"45,228",---
66,"Friday, Jun 16",boxscore,STL,@,BAL,W,11,2,,31-35,3,4.5,Martinez,Gausman,,2:55,N,"26,341",+
67,"Saturday, Jun 17",boxscore,STL,@,BAL,L,7,15,,31-36,3,4.5,Miley,Wainwright,,3:27,D,"27,788",-
68,"Sunday, Jun 18",boxscore,STL,@,BAL,L,5,8,,31-37,3,5.5,Jimenez,Lynn,Brach,2:58,D,"34,854",--
69,"Tuesday, Jun 20",boxscore,STL,@,PHI,W,8,1,11,32-37,3,4,Siegrist,Ramos,,3:28,N,"22,070",+
70,"Wednesday, Jun 21",boxscore,STL,@,PHI,W,7,6,10,33-37,3,4,Cecil,Ramos,Oh,3:29,N,"25,037",++
71,"Thursday, Jun 22",boxscore,STL,@,PHI,L,1,5,,33-38,3,5,Nola,Martinez,,2:31,D,"23,623",-
72,"Friday, Jun 23",boxscore,STL,,PIT,L,3,4,,33-39,3,5,Rivero,Oh,,3:08,N,"47,112",--
73,"Saturday, Jun 24",boxscore,STL,,PIT,L,3,7,,33-40,4,5,Cole,Lynn,,3:00,N,"46,735",---
74,"Sunday, Jun 25",boxscore,STL,,PIT,W,8,4,,34-40,3,5,Rosenthal,Nicasio,,3:11,N,"43,719",+
75,"Monday, Jun 26",boxscore,STL,,CIN,W,8,2,,35-40,3,4.5,Wacha,Finnegan,,2:49,D,"46,535",++
76,"Tuesday, Jun 27",boxscore,STL,@,ARI,L-wo,5,6,10,35-41,3,4.5,Rodney,Bowman,,3:22,N,"24,256",-
77,"Wednesday, Jun 28",boxscore,STL,@,ARI,W,4,3,,36-41,3,3.5,Wainwright,Godley,Rosenthal,3:18,N,"23,188",+
78,"Thursday, Jun 29",boxscore,STL,@,ARI,W,10,4,,37-41,3,3.5,Lynn,De La Rosa,,3:18,D,"27,603",++
79,"Friday, Jun 30",boxscore,STL,,WSN,W,8,1,,38-41,3,3.5,Leake,Roark,,2:54,N,"41,398",+++
Gm#,July,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
80,"Saturday, Jul 1",boxscore,STL,,WSN,W,2,1,,39-41,3,3.5,Wacha,Gonzalez,Bowman,2:53,N,"43,614",++++
81,"Sunday, Jul 2",boxscore,STL,,WSN,L,2,7,,39-42,3,3.5,Scherzer,Martinez,,2:57,N,"43,640",-
82,"Monday, Jul 3",boxscore,STL,,MIA,W,14,6,,40-42,3,3.5,Wainwright,Locke,,3:17,N,"42,694",+
83,"Tuesday, Jul 4",boxscore,STL,,MIA,L,2,5,,40-43,3,4.5,Urena,Lynn,Ramos,3:04,D,"38,497",-
84,"Wednesday, Jul 5",boxscore,STL,,MIA,L,6,9,,40-44,3,5.5,McGowan,Leake,Ramos,3:19,N,"40,204",--
85,"Thursday, Jul 6",boxscore,STL,,MIA,W,4,3,,41-44,3,5.5,Wacha,Koehler,Oh,3:11,D,"37,780",+
86,"Friday, Jul 7",boxscore,STL,,NYM,L,5,6,,41-45,3,6.5,deGrom,Martinez,Reed,2:47,N,"43,849",-
87,"Saturday, Jul 8",boxscore,STL,,NYM,W,4,1,,42-45,3,5.5,Wainwright,Wheeler,Oh,3:07,D,"44,013",+
88,"Sunday, Jul 9",boxscore,STL,,NYM,W,6,0,,43-45,2,5.5,Lynn,Matz,,2:28,D,"42,925",++
89,"Friday, Jul 14",boxscore,STL,@,PIT,L-wo,2,5,,43-46,3,6.5,Rivero,Oh,,3:06,N,"24,988",-
90,"Saturday, Jul 15",boxscore,STL,@,PIT,W,4,0,,44-46,3,6.5,Lynn,Taillon,,3:00,N,"35,658",+
91,"Sunday, Jul 16",boxscore,STL,@,PIT,L-wo,3,4,,44-47,3,6.5,LeBlanc,Cecil,,3:02,D,"29,247",-
92,"Monday, Jul 17",boxscore,STL,@,NYM,W,6,3,,45-47,3,5.5,Wainwright,Wheeler,Cecil,3:20,N,"29,977",+
93,"Tuesday, Jul 18",boxscore,STL,@,NYM,W,5,0,,46-47,3,4.5,Wacha,Montero,,2:52,N,"29,964",++
