Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,"Sunday, Apr 2",boxscore,CHC,@,STL,L-wo,3,4,,0-1,5,1,Oh,Montgomery,,3:33,N,"47,566",-
2,"Tuesday, Apr 4",boxscore,CHC,@,STL,W,2,1,,1-1,1,Tied,Arrieta,Wainwright,Davis,2:57,N,"46,760",+
3,"Thursday, Apr 6",boxscore,CHC,@,STL,W,6,4,,2-1,1,Tied,Lackey,Cecil,Davis,3:18,D,"44,039",++
4,"Friday, Apr 7",boxscore,CHC,@,MIL,L-wo,1,2,11,2-2,2,1,Hughes,Montgomery,,3:58,N,"28,728",-
5,"Saturday, Apr 8",boxscore,CHC,@,MIL,W,11,6,,3-2,1,Tied,Hendricks,Marinez,,3:28,N,"43,080",+
6,"Sunday, Apr 9",boxscore,CHC,@,MIL,W,7,4,,4-2,1,Tied,Arrieta,Davies,,3:00,D,"38,483",++
7,"Monday, Apr 10",boxscore,CHC,,LAD,W-wo,3,2,,5-2,1,Tied,Davis,Romo,,3:37,N,"41,166",+++
8,"Wednesday, Apr 12",boxscore,CHC,,LAD,L,0,2,,5-3,2,1.5,McCarthy,Lackey,Jansen,3:20,N,"40,844",-
9,"Thursday, Apr 13",boxscore,CHC,,LAD,W,4,0,,6-3,2,0.5,Anderson,Ryu,,3:01,D,"38,379",+
10,"Friday, Apr 14",boxscore,CHC,,PIT,L,2,4,,6-4,2,0.5,Cole,Hendricks,Watson,3:15,D,"40,430",-
11,"Saturday, Apr 15",boxscore,CHC,,PIT,L,7,8,,6-5,2,1.5,Williams,Strop,Watson,3:25,D,"41,814",--
12,"Sunday, Apr 16",boxscore,CHC,,PIT,L,1,6,,6-6,3,1.5,Taillon,Uehara,,3:02,D,"39,422",---
13,"Monday, Apr 17",boxscore,CHC,,MIL,L,3,6,,6-7,3,2,Anderson,Lackey,Feliz,3:00,N,"38,636",----
14,"Tuesday, Apr 18",boxscore,CHC,,MIL,W,9,7,,7-7,3,2,Grimm,Hughes,Davis,3:00,N,"39,026",+
15,"Wednesday, Apr 19",boxscore,CHC,,MIL,W-wo,7,4,,8-7,2,1,Davis,Feliz,,3:30,D,"34,864",++
16,"Friday, Apr 21",boxscore,CHC,@,CIN,W,6,5,11,9-7,1,up 0.5,Edwards,Stephenson,Davis,3:57,N,"29,350",+++
17,"Saturday, Apr 22",boxscore,CHC,@,CIN,W,12,8,,10-7,1,up 1.5,Arrieta,Reed,,3:24,D,"27,189",++++
18,"Sunday, Apr 23",boxscore,CHC,@,CIN,L,5,7,,10-8,1,up 0.5,Arroyo,Lackey,,2:26,D,"32,670",-
19,"Monday, Apr 24",boxscore,CHC,@,PIT,W,14,3,,11-8,1,up 1.5,Anderson,Kuhl,,3:22,N,"13,445",+
20,"Tuesday, Apr 25",boxscore,CHC,@,PIT,W,1,0,,12-8,1,up 2.0,Hendricks,Cole,Davis,2:44,N,"15,326",++
21,"Wednesday, Apr 26",boxscore,CHC,@,PIT,L,5,6,,12-9,1,up 1.0,LeBlanc,Lester,Watson,3:22,N,"16,904",-
22,"Friday, Apr 28",boxscore,CHC,@,BOS,L,4,5,,12-10,1,up 0.5,Pomeranz,Arrieta,Kimbrel,3:28,N,"37,054",--
23,"Saturday, Apr 29",boxscore,CHC,@,BOS,W,7,4,,13-10,1,up 1.0,Lackey,Wright,Davis,3:00,D,"36,776",+
24,"Sunday, Apr 30",boxscore,CHC,@,BOS,L,2,6,,13-11,1,up 1.0,Barnes,Uehara,,3:28,N,"36,916",-
25,"Monday, May 1",boxscore,CHC,,PHI,L,2,10,,13-12,1,Tied,Velasquez,Anderson,,3:06,N,"38,567",--
26,"Tuesday, May 2",boxscore,CHC,,PHI,W,8,3,,14-12,1,up 1.0,Lester,Hellickson,,3:24,N,"38,660",+
27,"Wednesday, May 3",boxscore,CHC,,PHI,W,5,4,,15-12,1,up 1.5,Arrieta,Eickhoff,Davis,3:09,N,"39,335",++
