Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,"Sunday, Apr 2",boxscore,SFG,@,ARI,L-wo,5,6,,0-1,5,1,Rodney,Melancon,,3:23,D,"49,016",-
2,"Tuesday, Apr 4",boxscore,SFG,@,ARI,W,8,4,,1-1,2,1,Cueto,Corbin,,3:26,N,"19,378",+
3,"Wednesday, Apr 5",boxscore,SFG,@,ARI,L,6,8,,1-2,4,1,Walker,Moore,Rodney,3:15,N,"14,675",-
4,"Thursday, Apr 6",boxscore,SFG,@,ARI,L,3,9,,1-3,4,2,De La Rosa,Samardzija,,3:00,N,"15,308",--
5,"Friday, Apr 7",boxscore,SFG,@,SDP,L,6,7,,1-4,5,3,Torres,Kontos,Maurer,2:58,D,"43,441",---
6,"Saturday, Apr 8",boxscore,SFG,@,SDP,L,1,2,,1-5,5,4,Chacin,Bumgarner,Buchter,2:24,N,"42,397",----
7,"Sunday, Apr 9",boxscore,SFG,@,SDP,W,5,3,,2-5,5,4,Cueto,Richard,Melancon,2:57,D,"40,537",+
8,"Monday, Apr 10",boxscore,SFG,,ARI,W,4,1,,3-5,5,3,Moore,Walker,Melancon,2:38,D,"42,129",++
9,"Tuesday, Apr 11",boxscore,SFG,,ARI,L,3,4,,3-6,5,4,Ray,Samardzija,Rodney,3:18,N,"41,562",-
10,"Wednesday, Apr 12",boxscore,SFG,,ARI,W,6,2,,4-6,5,3,Cain,Miller,,3:21,N,"41,656",+
11,"Thursday, Apr 13",boxscore,SFG,,COL,L,1,3,,4-7,5,3.5,Rusin,Bumgarner,Holland,2:50,N,"41,915",-
12,"Friday, Apr 14",boxscore,SFG,,COL,W,8,2,,5-7,5,2.5,Cueto,Anderson,,2:49,N,"42,738",+
13,"Saturday, Apr 15",boxscore,SFG,,COL,L,0,5,,5-8,5,3,Chatwood,Moore,,2:26,D,"42,371",-
14,"Sunday, Apr 16",boxscore,SFG,,COL,L,3,4,,5-9,5,4,Senzatela,Samardzija,Holland,2:46,D,"41,455",--
15,"Tuesday, Apr 18",boxscore,SFG,@,KCR,W,2,1,11,6-9,4,4,Law,Alexander,Melancon,3:37,N,"20,863",+
16,"Wednesday, Apr 19",boxscore,SFG,@,KCR,L,0,2,,6-10,4,4,Vargas,Bumgarner,Herrera,2:28,N,"24,402",-
