Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,"Monday, Apr 3",boxscore,CLE,@,TEX,W,8,5,,1-0,1,Tied,Miller,Dyson,Allen,3:21,N,"48,350",+
2,"Tuesday, Apr 4",boxscore,CLE,@,TEX,W,4,3,,2-0,1,up 0.5,Carrasco,Perez,Allen,3:14,N,"23,574",++
3,"Wednesday, Apr 5",boxscore,CLE,@,TEX,W,9,6,,3-0,1,up 0.5,Armstrong,Dyson,Shaw,3:25,N,"24,649",+++
4,"Friday, Apr 7",boxscore,CLE,@,ARI,L,3,7,,3-1,2,1,Miller,Tomlin,,3:19,N,"22,443",-
5,"Saturday, Apr 8",boxscore,CLE,@,ARI,L,2,11,,3-2,3,1,Greinke,Bauer,,3:15,N,"28,437",--
6,"Sunday, Apr 9",boxscore,CLE,@,ARI,L,2,3,,3-3,3,2,Corbin,Kluber,Rodney,3:02,D,"30,191",---
7,"Tuesday, Apr 11",boxscore,CLE,,CHW,W-wo,2,1,10,4-3,3,1,Shaw,Kahnle,,3:37,D,"35,002",+
8,"Wednesday, Apr 12",boxscore,CLE,,CHW,L,1,2,,4-4,3,2,Holland,Salazar,Robertson,2:58,N,"15,628",-
9,"Thursday, Apr 13",boxscore,CLE,,CHW,L,4,10,,4-5,4,2,Swarzak,Tomlin,,3:32,N,"15,060",--
10,"Friday, Apr 14",boxscore,CLE,,DET,L,6,7,,4-6,4,3,Norris,Bauer,Rodriguez,4:00,N,"25,423",---
11,"Saturday, Apr 15",boxscore,CLE,,DET,W,13,6,,5-6,4,2,Kluber,Verlander,,3:36,D,"26,691",+
12,"Sunday, Apr 16",boxscore,CLE,,DET,L,1,4,,5-7,5,3,Boyd,Carrasco,Rodriguez,3:15,D,"17,739",-
13,"Monday, Apr 17",boxscore,CLE,@,MIN,W,3,1,,6-7,5,2.5,Salazar,Gibson,Allen,2:58,N,"16,961",+
14,"Tuesday, Apr 18",boxscore,CLE,@,MIN,W,11,4,,7-7,3,1.5,Tomlin,Hughes,,3:15,N,"16,553",++
15,"Thursday, Apr 20",boxscore,CLE,@,MIN,W,6,2,,8-7,1,Tied,Bauer,Duffey,,3:36,D,"17,339",+++
16,"Friday, Apr 21",boxscore,CLE,@,CHW,W,3,0,,9-7,1,up 1.0,Kluber,Quintana,,2:45,N,"18,159",++++
17,"Saturday, Apr 22",boxscore,CLE,@,CHW,W,7,0,,10-7,1,up 1.0,Carrasco,Pelfrey,,3:09,N,"32,044",+++++
18,"Sunday, Apr 23",boxscore,CLE,@,CHW,L,2,6,,10-8,1,Tied,Holland,Salazar,,3:12,D,"24,444",-
19,"Tuesday, Apr 25",boxscore,CLE,,HOU,L,2,4,,10-9,2,1,Keuchel,Tomlin,,2:46,N,"14,581",--
20,"Wednesday, Apr 26",boxscore,CLE,,HOU,W,7,6,,11-9,1,Tied,Bauer,McCullers,Allen,3:12,N,"16,052",+
21,"Thursday, Apr 27",boxscore,CLE,,HOU,W,4,3,,12-9,1,up 0.5,Kluber,Devenski,Allen,2:50,N,"14,452",++
22,"Friday, Apr 28",boxscore,CLE,,SEA,L,1,3,,12-10,2,0.5,Miranda,Carrasco,Diaz,2:36,N,"20,842",-
23,"Saturday, Apr 29",boxscore,CLE,,SEA,W,4,3,,13-10,2,0.5,Salazar,Gallardo,Allen,2:42,D,"21,221",+
24,"Sunday, Apr 30",boxscore,CLE,,SEA,W,12,4,,14-10,1,up 0.5,Tomlin,De Jong,,2:58,D,"21,824",++
Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
25,"Monday, May 1",boxscore,CLE,@,DET,L,1,7,,14-11,1,up 0.5,Norris,Bauer,,3:14,N,"22,045",-
26,"Tuesday, May 2",boxscore,CLE,@,DET,L,2,5,,14-12,2,0.5,Verlander,Kluber,Rodriguez,3:14,N,"21,799",--
27,"Wednesday, May 3",boxscore,CLE,@,DET,W,3,2,,15-12,1,Tied,Carrasco,Boyd,Allen,3:03,N,"22,663",+
28,"Friday, May 5",boxscore,CLE,@,KCR,L,1,3,,15-13,2,0.5,Hammel,Salazar,Herrera,2:50,N,"25,722",-
29,"Saturday, May 6",boxscore,CLE,@,KCR,W,3,1,,16-13,1,up 0.5,Miller,Herrera,Allen,2:37,D,"23,743",+
30,"Sunday, May 7",boxscore,CLE,@,KCR,W,1,0,,17-13,1,up 1.5,Clevinger,Duffy,Allen,2:51,D,"25,754",++
31,"Monday, May 8",boxscore,CLE,@,TOR,L,2,4,,17-14,1,up 1.0,Stroman,Bauer,Osuna,2:55,N,"40,014",-
32,"Tuesday, May 9",boxscore,CLE,@,TOR,W,6,0,,18-14,1,up 1.0,Carrasco,Bolsinger,,2:46,N,"32,688",+
33,"Wednesday, May 10",boxscore,CLE,@,TOR,L-wo,7,8,,18-15,1,up 0.5,Osuna,Allen,,3:31,N,"35,115",-
34,"Friday, May 12",boxscore,CLE,,MIN,L,0,1,,18-16,2,1,Santana,Tomlin,Kintzler,2:30,N,"24,452",--
