Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,"Monday, Apr 3",boxscore,MIA,@,WSN,L,2,4,,0-1,4,1,Strasburg,Phelps,Treinen,2:47,D,"42,744",-
2,"Wednesday, Apr 5",boxscore,MIA,@,WSN,L,4,6,,0-2,5,2,Roark,Straily,Treinen,3:06,N,"22,715",--
3,"Thursday, Apr 6",boxscore,MIA,@,WSN,W,4,3,10,1-2,3,1,Phelps,Blanton,Ramos,3:26,D,"19,418",+
4,"Friday, Apr 7",boxscore,MIA,@,NYM,W,7,2,,2-2,2,1,Chen,Wheeler,,3:06,N,"27,891",++
5,"Saturday, Apr 8",boxscore,MIA,@,NYM,W,8,1,,3-2,1,Tied,Conley,Gsellman,,3:25,N,"33,936",+++
6,"Sunday, Apr 9",boxscore,MIA,@,NYM,L,2,5,,3-3,1,Tied,Syndergaard,Volquez,Reed,2:44,N,"27,420",-
7,"Tuesday, Apr 11",boxscore,MIA,,ATL,W,8,4,,4-3,3,0.5,Straily,Colon,,2:54,N,"36,519",+
8,"Wednesday, Apr 12",boxscore,MIA,,ATL,L,4,5,,4-4,3,1.5,Vizcaino,Ramos,Johnson,2:51,N,"16,808",-
9,"Thursday, Apr 13",boxscore,MIA,,NYM,L,8,9,16,4-5,3,2.5,Robles,Conley,,5:38,N,"23,192",--
10,"Friday, Apr 14",boxscore,MIA,,NYM,W-wo,3,2,,5-5,3,1.5,Ramos,Edgin,,3:26,N,"24,194",+
11,"Saturday, Apr 15",boxscore,MIA,,NYM,W,5,4,,6-5,2,0.5,Tazawa,Salas,Ramos,2:30,N,"25,137",++
12,"Sunday, Apr 16",boxscore,MIA,,NYM,W-wo,4,2,,7-5,1,Tied,Phelps,Reed,,2:58,D,"20,028",+++
13,"Monday, Apr 17",boxscore,MIA,@,SEA,L,1,6,,7-6,2,0.5,Miranda,Koehler,,2:31,N,"16,990",-
14,"Tuesday, Apr 18",boxscore,MIA,@,SEA,W,5,0,,8-6,2,0.5,Chen,Gallardo,,2:33,N,"16,126",+
15,"Wednesday, Apr 19",boxscore,MIA,@,SEA,L,5,10,,8-7,2,1.5,Hernandez,Volquez,,3:32,D,"27,147",-
16,"Friday, Apr 21",boxscore,MIA,@,SDP,L,3,5,,8-8,2,3,Cahill,Phelps,,2:28,N,"30,413",--
17,"Saturday, Apr 22",boxscore,MIA,@,SDP,W,6,3,11,9-8,2,3,Ziegler,Torres,Ramos,3:13,N,"39,319",+
18,"Sunday, Apr 23",boxscore,MIA,@,SDP,W,7,3,,10-8,2,3,Koehler,Stammen,,2:42,D,"26,070",++
19,"Wednesday, Apr 26",boxscore,MIA,@,PHI,L,4,7,,10-9,2,4,Velasquez,Chen,,2:41,N,"26,191",-
20,"Thursday, Apr 27",boxscore,MIA,@,PHI,L,2,3,,10-10,3,5,Hellickson,Volquez,Neris,3:15,D,"22,180",--
21,"Friday, Apr 28",boxscore,MIA,,PIT,L,2,12,,10-11,3,5,Taillon,Conley,,3:31,N,"19,690",---
22,"Saturday, Apr 29",boxscore,MIA,,PIT,L,0,4,,10-12,3,5,Nova,Straily,,2:31,N,"33,152",----
23,"Sunday, Apr 30",boxscore,MIA,,PIT,W,10,3,,11-12,2,5,McGowan,Williams,,3:36,D,"26,245",+
Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
24,"Monday, May 1",boxscore,MIA,,TBR,L,2,4,,11-13,3,5.5,Farquhar,Ziegler,Colome,3:14,N,"16,096",-
25,"Tuesday, May 2",boxscore,MIA,,TBR,L,1,3,,11-14,3,5.5,Cobb,Volquez,Colome,3:22,N,"16,011",--
26,"Wednesday, May 3",boxscore,MIA,@,TBR,W,10,6,,12-14,2,5.5,Conley,Pruitt,,3:33,N,"12,285",+
27,"Thursday, May 4",boxscore,MIA,@,TBR,L,1,5,,12-15,2,6.5,Andriese,Straily,Colome,3:22,N,"10,118",-
28,"Friday, May 5",boxscore,MIA,@,NYM,L,7,8,,12-16,3,7.5,Blevins,Ziegler,Familia,3:14,N,"25,618",--
29,"Saturday, May 6",boxscore,MIA,@,NYM,L,3,11,,12-17,3,8.5,Gsellman,Despaigne,,2:48,N,"33,339",---
30,"Sunday, May 7",boxscore,MIA,@,NYM,W,7,0,,13-17,3,7.5,Urena,Wilk,,2:40,D,"39,197",+
31,"Monday, May 8",boxscore,MIA,,STL,L,4,9,,13-18,4,7.5,Martinez,Conley,Socolovich,2:47,N,"16,750",-
32,"Tuesday, May 9",boxscore,MIA,,STL,L,5,6,,13-19,4,7.5,Rosenthal,Ramos,Oh,2:56,N,"17,166",--
33,"Wednesday, May 10",boxscore,MIA,,STL,L,5,7,,13-20,4,8.5,Tuivailala,Garcia,Oh,3:46,N,"18,614",---
34,"Friday, May 12",boxscore,MIA,,ATL,L,4,8,,13-21,4,9,Foltynewicz,Urena,,3:11,N,"20,052",----
35,"Saturday, May 13",boxscore,MIA,,ATL,L,1,3,,13-22,5,10,Teheran,Volquez,Johnson,2:49,N,"26,692",-----
36,"Sunday, May 14",boxscore,MIA,,ATL,W,3,1,,14-22,4,9.5,Barraclough,Dickey,Ramos,2:27,D,"17,277",+
37,"Monday, May 15",boxscore,MIA,,HOU,L,2,7,,14-23,5,10,Musgrove,Tazawa,,2:57,N,"16,448",-
38,"Tuesday, May 16",boxscore,MIA,,HOU,L,2,12,,14-24,5,11,Keuchel,Koehler,,3:00,N,"18,056",--
39,"Wednesday, May 17",boxscore,MIA,,HOU,L,0,3,,14-25,5,11,McCullers,Urena,Giles,2:52,D,"24,699",---
40,"Thursday, May 18",boxscore,MIA,@,LAD,L,2,7,,14-26,5,11,Ryu,Volquez,Jansen,3:16,N,"41,717",----
41,"Friday, May 19",boxscore,MIA,@,LAD,L,2,7,,14-27,5,11,Wood,Nicolino,,2:58,N,"45,034",-----
42,"Saturday, May 20",boxscore,MIA,@,LAD,W,10,6,,15-27,5,10,Straily,Urias,,3:27,N,"52,850",+
43,"Sunday, May 21",boxscore,MIA,@,LAD,L,3,6,,15-28,5,11,McCarthy,Worley,,2:46,D,"44,646",-
44,"Tuesday, May 23",boxscore,MIA,@,OAK,W,11,9,,16-28,4,11,Urena,Hahn,,3:46,N,"12,835",+
45,"Wednesday, May 24",boxscore,MIA,@,OAK,L,1,4,,16-29,4,12,Gray,Volquez,Casilla,2:38,D,"19,738",-
46,"Friday, May 26",boxscore,MIA,,LAA,W,8,5,,17-29,4,11.5,Straily,Chavez,Ramos,3:13,N,"18,346",+
47,"Saturday, May 27",boxscore,MIA,,LAA,L,2,5,,17-30,4,12.5,Ramirez,Worley,,3:03,D,"19,366",-
48,"Sunday, May 28",boxscore,MIA,,LAA,W,9,2,,18-30,4,11.5,Urena,Shoemaker,,3:28,D,"20,444",+
49,"Monday, May 29",boxscore,MIA,,PHI,W,4,1,,19-30,4,11.5,Volquez,Hellickson,Ramos,2:37,N,"17,032",++
50,"Tuesday, May 30",boxscore,MIA,,PHI,W,7,2,,20-30,4,11.5,McGowan,Velasquez,,3:07,N,"16,241",+++
51,"Wednesday, May 31",boxscore,MIA,,PHI,W,10,2,,21-30,4,11.5,Straily,Nola,,3:16,D,"15,197",++++
Gm#,June,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
52,"Thursday, Jun 1",boxscore,MIA,,ARI,L,2,3,,21-31,4,12,Greinke,Barraclough,Rodney,3:00,N,"16,433",-
53,"Friday, Jun 2",boxscore,MIA,,ARI,W,7,5,,22-31,4,12,McGowan,Corbin,Ramos,3:00,N,"17,413",+
54,"Saturday, Jun 3",boxscore,MIA,,ARI,W,3,0,,23-31,4,11,Volquez,Delgado,,2:31,D,"21,548",++
55,"Sunday, Jun 4",boxscore,MIA,,ARI,W,6,5,,24-31,3,11,Wittgren,De La Rosa,Ramos,3:32,D,"20,387",+++
56,"Monday, Jun 5",boxscore,MIA,@,CHC,L,1,3,,24-32,4,12,Butler,Straily,Montgomery,2:16,N,"34,037",-
57,"Tuesday, Jun 6",boxscore,MIA,@,CHC,L,2,10,,24-33,4,13,Arrieta,Locke,,3:01,N,"34,082",--
58,"Wednesday, Jun 7",boxscore,MIA,@,CHC,W,6,5,,25-33,4,12,Urena,Lackey,Ramos,3:06,N,"37,294",+
59,"Thursday, Jun 8",boxscore,MIA,@,PIT,W,7,1,,26-33,3,12,Volquez,Cole,,3:06,N,"21,744",++
60,"Friday, Jun 9",boxscore,MIA,@,PIT,W,12,7,,27-33,3,11,McGowan,Glasnow,,3:25,N,"23,590",+++
61,"Saturday, Jun 10",boxscore,MIA,@,PIT,L,6,7,,27-34,3,11,Hudson,Phelps,Rivero,3:11,D,"27,275",-
62,"Sunday, Jun 11",boxscore,MIA,@,PIT,L,1,3,,27-35,3,11,Nova,Locke,Rivero,2:32,D,"22,925",--
63,"Tuesday, Jun 13",boxscore,MIA,,OAK,W,8,1,,28-35,3,10.5,Urena,Cotton,,2:57,N,"19,953",+
64,"Wednesday, Jun 14",boxscore,MIA,,OAK,W,11,6,,29-35,3,9.5,Barraclough,Gossett,,3:31,D,"19,436",++
65,"Friday, Jun 16",boxscore,MIA,@,ATL,W,5,0,,30-35,2,10,Straily,Newcomb,,2:44,N,"38,123",+++
66,"Saturday, Jun 17",boxscore,MIA,@,ATL,L-wo,7,8,10,30-36,2,11,Vizcaino,Ramos,,3:48,D,"38,661",-
67,"Sunday, Jun 18",boxscore,MIA,@,ATL,L-wo,4,5,,30-37,4,11,Johnson,Steckenrider,,2:53,D,"36,912",--
68,"Monday, Jun 19",boxscore,MIA,,WSN,W-wo,8,7,,31-37,3,10,Ramos,Romero,,3:31,N,"20,224",+
69,"Tuesday, Jun 20",boxscore,MIA,,WSN,L,3,12,,31-38,3,11,Gonzalez,Volquez,,3:02,N,"20,868",-
70,"Wednesday, Jun 21",boxscore,MIA,,WSN,W,2,1,,32-38,3,10,Barraclough,Scherzer,Ramos,2:39,D,"22,659",+
71,"Thursday, Jun 22",boxscore,MIA,,CHC,L,1,11,,32-39,3,10.5,Arrieta,Locke,,2:54,N,"23,472",-
72,"Friday, Jun 23",boxscore,MIA,,CHC,W,2,0,,33-39,3,10.5,Urena,Lackey,Ramos,2:30,N,"24,684",+
73,"Saturday, Jun 24",boxscore,MIA,,CHC,L,3,5,,33-40,3,11.5,Lester,Wittgren,Davis,2:55,D,"25,448",-
74,"Sunday, Jun 25",boxscore,MIA,,CHC,W,4,2,,34-40,3,10.5,Volquez,Montgomery,Ramos,2:51,D,"25,110",+
75,"Tuesday, Jun 27",boxscore,MIA,,NYM,W,6,3,,35-40,3,10,Barraclough,Ramirez,Ramos,3:03,N,"20,804",++
76,"Wednesday, Jun 28",boxscore,MIA,,NYM,L,0,8,,35-41,3,11,Matz,Locke,,2:57,N,"18,743",-
77,"Thursday, Jun 29",boxscore,MIA,,NYM,L,3,6,,35-42,4,11,Lugo,Urena,Reed,2:43,N,"21,350",--
78,"Friday, Jun 30",boxscore,MIA,@,MIL,L,2,3,,35-43,4,11,Torres,Phelps,Knebel,3:14,N,"35,549",---
Gm#,July,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
79,"Saturday, Jul 1",boxscore,MIA,@,MIL,L,4,8,,35-44,4,11,Davies,Koehler,,3:01,D,"30,712",----
80,"Sunday, Jul 2",boxscore,MIA,@,MIL,W,10,3,,36-44,4,11,Straily,Guerra,,3:43,D,"33,834",+
81,"Monday, Jul 3",boxscore,MIA,@,STL,L,6,14,,36-45,4,12,Wainwright,Locke,,3:17,N,"42,694",-
82,"Tuesday, Jul 4",boxscore,MIA,@,STL,W,5,2,,37-45,4,12,Urena,Lynn,Ramos,3:04,D,"38,497",+
83,"Wednesday, Jul 5",boxscore,MIA,@,STL,W,9,6,,38-45,3,11.5,McGowan,Leake,Ramos,3:19,N,"40,204",++
84,"Thursday, Jul 6",boxscore,MIA,@,STL,L,3,4,,38-46,4,11.5,Wacha,Koehler,Oh,3:11,D,"37,780",-
85,"Friday, Jul 7",boxscore,MIA,@,SFG,W,6,1,,39-46,4,11.5,Straily,Moore,,2:40,N,"41,510",+
86,"Saturday, Jul 8",boxscore,MIA,@,SFG,W,5,4,,40-46,3,10.5,O'Grady,Samardzija,Ramos,3:01,N,"41,480",++
87,"Sunday, Jul 9",boxscore,MIA,@,SFG,W,10,8,11,41-46,3,10.5,Wittgren,Kontos,Ramos,4:10,D,"41,516",+++
88,"Friday, Jul 14",boxscore,MIA,,LAD,L,4,6,,41-47,3,11.5,Fields,Ramos,Jansen,3:00,N,"21,858",-
89,"Saturday, Jul 15",boxscore,MIA,,LAD,L,1,7,,41-48,4,12.5,Wood,Urena,,3:19,N,"22,609",--
90,"Sunday, Jul 16",boxscore,MIA,,LAD,L,2,3,,41-49,4,13.5,Hill,O'Grady,Jansen,3:18,D,"22,119",---
91,"Monday, Jul 17",boxscore,MIA,,PHI,W-wo,6,5,10,42-49,3,13.5,Steckenrider,Leiter,,3:41,N,"17,146",+
92,"Tuesday, Jul 18",boxscore,MIA,,PHI,L,2,5,,42-50,3,14.5,Neshek,McGowan,Neris,2:41,N,"18,176",-
93,"Wednesday, Jul 19",boxscore,MIA,,PHI,L,3,10,,42-51,4,14.5,Pivetta,Straily,,3:04,D,"31,854",--
94,"Friday, Jul 21",boxscore,MIA,@,CIN,W,3,1,,43-51,4,13.5,Urena,Bailey,Ramos,2:57,N,"21,851",+
95,"Saturday, Jul 22",boxscore,MIA,@,CIN,W,5,4,,44-51,4,13.5,Wittgren,Stephenson,Ramos,3:12,N,"24,099",++
96,"Sunday, Jul 23",boxscore,MIA,@,CIN,L,3,6,,44-52,4,14.5,Romano,Koehler,Iglesias,2:58,D,"20,526",-
97,"Monday, Jul 24",boxscore,MIA,@,TEX,W,4,0,,45-52,4,14,Conley,Perez,,2:34,N,"24,654",+
98,"Tuesday, Jul 25",boxscore,MIA,@,TEX,L,4,10,,45-53,4,14,Hamels,Straily,,2:54,N,"25,074",-
99,"Wednesday, Jul 26",boxscore,MIA,@,TEX,W,22,10,,46-53,4,14,Urena,Darvish,,4:02,N,"26,471",+
