Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,"Monday, Apr 3",boxscore,NYM,,ATL,W,6,0,,1-0,1,Tied,Robles,Krol,,3:13,D,"44,384",+
2,"Wednesday, Apr 5",boxscore,NYM,,ATL,L,1,3,12,1-1,2,1,Johnson,Montero,,3:51,N,"28,113",-
3,"Thursday, Apr 6",boxscore,NYM,,ATL,W,6,2,,2-1,1,Tied,Harvey,Garcia,,2:28,N,"23,100",+
4,"Friday, Apr 7",boxscore,NYM,,MIA,L,2,7,,2-2,2,1,Chen,Wheeler,,3:06,N,"27,891",-
5,"Saturday, Apr 8",boxscore,NYM,,MIA,L,1,8,,2-3,3,1,Conley,Gsellman,,3:25,N,"33,936",--
6,"Sunday, Apr 9",boxscore,NYM,,MIA,W,5,2,,3-3,1,Tied,Syndergaard,Volquez,Reed,2:44,N,"27,420",+
7,"Monday, Apr 10",boxscore,NYM,@,PHI,W,4,3,,4-3,1,Tied,Blevins,Ramos,Reed,2:59,N,"33,359",++
8,"Tuesday, Apr 11",boxscore,NYM,@,PHI,W,14,4,,5-3,1,Tied,Harvey,Buchholz,,3:38,N,"28,659",+++
9,"Wednesday, Apr 12",boxscore,NYM,@,PHI,W,5,4,,6-3,1,up 1.0,Wheeler,Velasquez,Reed,3:13,N,"28,272",++++
10,"Thursday, Apr 13",boxscore,NYM,@,MIA,W,9,8,16,7-3,1,up 1.5,Robles,Conley,,5:38,N,"23,192",+++++
11,"Friday, Apr 14",boxscore,NYM,@,MIA,L-wo,2,3,,7-4,1,up 0.5,Ramos,Edgin,,3:26,N,"24,194",-
12,"Saturday, Apr 15",boxscore,NYM,@,MIA,L,4,5,,7-5,1,up 0.5,Tazawa,Salas,Ramos,2:30,N,"25,137",--
13,"Sunday, Apr 16",boxscore,NYM,@,MIA,L-wo,2,4,,7-6,3,0.5,Phelps,Reed,,2:58,D,"20,028",---
14,"Tuesday, Apr 18",boxscore,NYM,,PHI,L,2,6,10,7-7,3,1.5,Garcia,Montero,,3:58,N,"23,536",----
15,"Wednesday, Apr 19",boxscore,NYM,,PHI,W,5,4,,8-7,2,1.5,Robles,Ramos,Reed,2:37,N,"22,243",+
16,"Thursday, Apr 20",boxscore,NYM,,PHI,L,4,6,,8-8,3,2.5,Nola,Syndergaard,Neris,3:14,N,"24,656",-
17,"Friday, Apr 21",boxscore,NYM,,WSN,L,3,4,11,8-9,3,3.5,Romero,Smoker,Kelley,3:43,N,"34,773",--
18,"Saturday, Apr 22",boxscore,NYM,,WSN,L,1,3,,8-10,4,4.5,Gonzalez,deGrom,Glover,3:01,D,"42,145",---
19,"Sunday, Apr 23",boxscore,NYM,,WSN,L,3,6,,8-11,4,5.5,Scherzer,Wheeler,Glover,2:43,N,"27,044",----
20,"Wednesday, Apr 26",boxscore,NYM,,ATL,L,2,8,,8-12,4,6.5,Teheran,Gsellman,,3:19,N,"22,819",-----
21,"Thursday, Apr 27",boxscore,NYM,,ATL,L,5,7,,8-13,5,7.5,Dickey,Harvey,,2:56,D,"23,243",------
22,"Friday, Apr 28",boxscore,NYM,@,WSN,W,7,5,,9-13,5,6.5,deGrom,Scherzer,Edgin,3:24,N,"34,562",+
23,"Saturday, Apr 29",boxscore,NYM,@,WSN,W,5,3,,10-13,5,5.5,Robles,Strasburg,Familia,3:17,D,"36,501",++
24,"Sunday, Apr 30",boxscore,NYM,@,WSN,L,5,23,,10-14,5,6.5,Albers,Syndergaard,,3:37,D,"36,806",-
Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
