Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,"Monday, Apr 3",boxscore,BAL,,TOR,W-wo,3,2,11,1-0,1,Tied,Wilson,Grilli,,3:41,D,"45,667",+
2,"Wednesday, Apr 5",boxscore,BAL,,TOR,W,3,1,,2-0,1,Tied,Bundy,Happ,Britton,2:23,N,"16,086",++
3,"Friday, Apr 7",boxscore,BAL,,NYY,W,6,5,,3-0,1,up 1.0,Hart,Clippard,Britton,3:20,N,"25,248",+++
4,"Saturday, Apr 8",boxscore,BAL,,NYY,W,5,4,,4-0,1,up 1.0,Givens,Betances,Britton,3:35,D,"38,916",++++
5,"Sunday, Apr 9",boxscore,BAL,,NYY,L,3,7,,4-1,1,Tied,Betances,O'Day,,3:22,D,"42,487",-
6,"Tuesday, Apr 11",boxscore,BAL,@,BOS,L,1,8,,4-2,1,Tied,Pomeranz,Bundy,,3:15,N,"37,497",--
7,"Wednesday, Apr 12",boxscore,BAL,@,BOS,W,12,5,,5-2,1,up 1.0,Givens,Wright,,3:46,N,"32,211",+
8,"Thursday, Apr 13",boxscore,BAL,@,TOR,W,2,1,,6-2,1,up 1.5,Gausman,Liriano,Britton,2:45,N,"32,957",++
9,"Friday, Apr 14",boxscore,BAL,@,TOR,W,6,4,,7-2,1,up 1.5,Miley,Sanchez,Britton,3:18,N,"39,547",+++
10,"Saturday, Apr 15",boxscore,BAL,@,TOR,L-wo,1,2,,7-3,1,up 0.5,Osuna,Wilson,,2:39,D,"40,743",-
11,"Sunday, Apr 16",boxscore,BAL,@,TOR,W,11,4,,8-3,1,up 0.5,Bundy,Happ,,3:30,D,"38,188",+
12,"Tuesday, Apr 18",boxscore,BAL,@,CIN,L,3,9,,8-4,1,Tied,Arroyo,Gausman,,3:05,N,"16,018",-
13,"Wednesday, Apr 19",boxscore,BAL,@,CIN,W,2,0,,9-4,1,Tied,Jimenez,Garrett,Brach,2:28,N,"15,083",+
14,"Thursday, Apr 20",boxscore,BAL,@,CIN,W,2,1,10,10-4,1,up 0.5,O'Day,Wood,Brach,2:37,N,"11,910",++
15,"Friday, Apr 21",boxscore,BAL,,BOS,W,2,0,,11-4,1,up 1.5,Bundy,Pomeranz,Brach,3:20,N,"34,442",+++
16,"Saturday, Apr 22",boxscore,BAL,,BOS,W,4,2,,12-4,1,up 1.5,Aquino,Wright,O'Day,2:47,N,"35,457",++++
17,"Sunday, Apr 23",boxscore,BAL,,BOS,L,2,6,,12-5,1,up 1.5,Rodriguez,Gausman,Kimbrel,3:34,D,"35,522",-
18,"Monday, Apr 24",boxscore,BAL,,TBR,W,6,3,,13-5,1,up 2.0,Givens,Archer,Brach,3:16,N,"11,142",+
19,"Tuesday, Apr 25",boxscore,BAL,,TBR,L,0,2,,13-6,1,up 1.5,Whitley,Miley,Colome,2:52,N,"11,472",-
