Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,"Monday, Apr 3",boxscore,SDP,@,LAD,L,3,14,,0-1,4,1,Kershaw,Chacin,,2:52,D,"53,701",-
2,"Tuesday, Apr 4",boxscore,SDP,@,LAD,W,4,0,,1-1,2,1,Richard,Maeda,,2:44,N,"42,196",+
3,"Wednesday, Apr 5",boxscore,SDP,@,LAD,L,1,3,,1-2,4,1,Hill,Cahill,Jansen,2:43,N,"38,373",-
4,"Thursday, Apr 6",boxscore,SDP,@,LAD,L,2,10,,1-3,4,2,McCarthy,Weaver,,3:14,D,"36,501",--
5,"Friday, Apr 7",boxscore,SDP,,SFG,W,7,6,,2-3,4,2,Torres,Kontos,Maurer,2:58,D,"43,441",+
6,"Saturday, Apr 8",boxscore,SDP,,SFG,W,2,1,,3-3,3,2,Chacin,Bumgarner,Buchter,2:24,N,"42,397",++
7,"Sunday, Apr 9",boxscore,SDP,,SFG,L,3,5,,3-4,4,3,Cueto,Richard,Melancon,2:57,D,"40,537",-
8,"Monday, Apr 10",boxscore,SDP,@,COL,W,5,3,,4-4,3,2,Diaz,Chatwood,,2:53,N,"20,504",+
9,"Tuesday, Apr 11",boxscore,SDP,@,COL,L,2,3,,4-5,4,3,Senzatela,Diaz,Holland,2:24,N,"20,664",-
10,"Wednesday, Apr 12",boxscore,SDP,@,COL,W,6,0,,5-5,4,2,Lee,Freeland,,2:49,D,"20,968",+
11,"Friday, Apr 14",boxscore,SDP,@,ATL,L,2,5,,5-6,4,2,Teheran,Chacin,Johnson,2:57,N,"41,149",-
12,"Saturday, Apr 15",boxscore,SDP,@,ATL,L,2,4,,5-7,4,2.5,Dickey,Richard,Johnson,2:20,N,"41,149",--
13,"Sunday, Apr 16",boxscore,SDP,@,ATL,L,2,9,,5-8,4,3.5,Colon,Cahill,,2:46,D,"37,147",---
14,"Monday, Apr 17",boxscore,SDP,@,ATL,L-wo,4,5,,5-9,4,4,Johnson,Maurer,,2:48,N,"24,516",----
15,"Tuesday, Apr 18",boxscore,SDP,,ARI,L,2,11,,5-10,5,5,Miller,Cosart,,3:20,N,"19,869",-----
16,"Wednesday, Apr 19",boxscore,SDP,,ARI,W,1,0,,6-10,4,4,Chacin,Greinke,Maurer,2:13,N,"17,089",+
17,"Thursday, Apr 20",boxscore,SDP,,ARI,W,4,1,,7-10,4,3.5,Richard,Corbin,Maurer,2:24,N,"17,831",++
18,"Friday, Apr 21",boxscore,SDP,,MIA,W,5,3,,8-10,4,3.5,Cahill,Phelps,,2:28,N,"30,413",+++
19,"Saturday, Apr 22",boxscore,SDP,,MIA,L,3,6,11,8-11,4,4.5,Ziegler,Torres,Ramos,3:13,N,"39,319",-
20,"Sunday, Apr 23",boxscore,SDP,,MIA,L,3,7,,8-12,4,5.5,Koehler,Stammen,,2:42,D,"26,070",--
21,"Monday, Apr 24",boxscore,SDP,@,ARI,L,6,7,,8-13,4,6.5,Greinke,Chacin,Rodney,3:05,N,"14,758",---
22,"Tuesday, Apr 25",boxscore,SDP,@,ARI,L,3,9,,8-14,4,6.5,Corbin,Richard,,3:02,N,"17,531",----
23,"Wednesday, Apr 26",boxscore,SDP,@,ARI,W,8,5,,9-14,4,5.5,Buchter,Rodney,Maurer,3:14,N,"12,215",+
24,"Thursday, Apr 27",boxscore,SDP,@,ARI,L,2,6,,9-15,4,6,Walker,Weaver,,2:21,N,"15,452",-
25,"Friday, Apr 28",boxscore,SDP,@,SFG,L,3,4,,9-16,5,6.5,Law,Buchter,Melancon,2:26,N,"41,436",--
26,"Saturday, Apr 29",boxscore,SDP,@,SFG,W,12,4,,10-16,4,6.5,Chacin,Stratton,,3:32,N,"42,862",+
27,"Sunday, Apr 30",boxscore,SDP,@,SFG,W,5,2,12,11-16,4,5.5,Buchter,Kontos,Torres,3:23,D,"41,989",++
