Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,"Monday, Apr 3",boxscore,PHI,@,CIN,W,4,3,,1-0,1,Tied,Hellickson,Feldman,Gomez,3:04,D,"43,804",+
2,"Wednesday, Apr 5",boxscore,PHI,@,CIN,L,0,2,,1-1,2,1,Finnegan,Eickhoff,Iglesias,2:25,N,"19,944",-
3,"Thursday, Apr 6",boxscore,PHI,@,CIN,L,4,7,,1-2,3,1,Reed,Morgan,Storen,3:05,D,"10,586",--
4,"Friday, Apr 7",boxscore,PHI,,WSN,L,6,7,,1-3,4,2,Scherzer,Velasquez,Treinen,3:34,D,"45,121",---
5,"Saturday, Apr 8",boxscore,PHI,,WSN,W,17,3,,2-3,3,1,Nola,Guthrie,,3:15,N,"37,241",+
6,"Sunday, Apr 9",boxscore,PHI,,WSN,W-wo,4,3,,3-3,1,Tied,Gomez,Glover,,3:24,D,"36,917",++
7,"Monday, Apr 10",boxscore,PHI,,NYM,L,3,4,,3-4,4,1,Blevins,Ramos,Reed,2:59,N,"33,359",-
8,"Tuesday, Apr 11",boxscore,PHI,,NYM,L,4,14,,3-5,4,2,Harvey,Buchholz,,3:38,N,"28,659",--
9,"Wednesday, Apr 12",boxscore,PHI,,NYM,L,4,5,,3-6,4,3,Wheeler,Velasquez,Reed,3:13,N,"28,272",---
10,"Friday, Apr 14",boxscore,PHI,@,WSN,L-wo,2,3,10,3-7,5,3.5,Kelley,Gomez,,3:18,D,"38,664",----
11,"Saturday, Apr 15",boxscore,PHI,@,WSN,W,4,2,,4-7,5,2.5,Hellickson,Blanton,Benoit,2:39,D,"35,626",+
12,"Sunday, Apr 16",boxscore,PHI,@,WSN,L-wo,4,6,,4-8,5,3,Kelley,Benoit,,3:11,D,"29,774",-
13,"Tuesday, Apr 18",boxscore,PHI,@,NYM,W,6,2,10,5-8,5,3,Garcia,Montero,,3:58,N,"23,536",+
14,"Wednesday, Apr 19",boxscore,PHI,@,NYM,L,4,5,,5-9,5,4,Robles,Ramos,Reed,2:37,N,"22,243",-
15,"Thursday, Apr 20",boxscore,PHI,@,NYM,W,6,4,,6-9,4,4,Nola,Syndergaard,Neris,3:14,N,"24,656",+
16,"Friday, Apr 21",boxscore,PHI,,ATL,W,4,3,,7-9,4,4,Hellickson,Colon,Neris,2:38,N,"24,189",++
17,"Saturday, Apr 22",boxscore,PHI,,ATL,W-wo,4,3,10,8-9,3,4,Gomez,Johnson,,3:32,N,"31,334",+++
18,"Sunday, Apr 23",boxscore,PHI,,ATL,W,5,2,,9-9,3,4,Rodriguez,Vizcaino,,2:38,D,"28,632",++++
19,"Wednesday, Apr 26",boxscore,PHI,,MIA,W,7,4,,10-9,2,4,Velasquez,Chen,,2:41,N,"26,191",+++++
20,"Thursday, Apr 27",boxscore,PHI,,MIA,W,3,2,,11-9,2,4,Hellickson,Volquez,Neris,3:15,D,"22,180",++++++
21,"Friday, Apr 28",boxscore,PHI,@,LAD,L,3,5,,11-10,2,4,Maeda,Eickhoff,Jansen,3:02,N,"46,729",-
22,"Saturday, Apr 29",boxscore,PHI,@,LAD,L-wo,5,6,,11-11,2,4,Dayton,Neris,,3:27,N,"53,110",--
23,"Sunday, Apr 30",boxscore,PHI,@,LAD,L,3,5,,11-12,2,5,Ryu,Pivetta,Jansen,3:06,D,"48,961",---
Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
24,"Monday, May 1",boxscore,PHI,@,CHC,W,10,2,,12-12,2,4.5,Velasquez,Anderson,,3:06,N,"38,567",+
25,"Tuesday, May 2",boxscore,PHI,@,CHC,L,3,8,,12-13,2,4.5,Lester,Hellickson,,3:24,N,"38,660",-
26,"Wednesday, May 3",boxscore,PHI,@,CHC,L,4,5,,12-14,2,5.5,Arrieta,Eickhoff,Davis,3:09,N,"39,335",--
27,"Thursday, May 4",boxscore,PHI,@,CHC,L-wo,4,5,13,12-15,2,6.5,Uehara,Rodriguez,,4:22,D,"36,394",---
28,"Friday, May 5",boxscore,PHI,,WSN,L,2,4,,12-16,3,7.5,Strasburg,Pivetta,Albers,3:20,N,"20,237",----
29,"Saturday, May 6",boxscore,PHI,,WSN,L,2,6,,12-17,3,8.5,Cole,Velasquez,,3:01,N,"21,298",-----
30,"Sunday, May 7",boxscore,PHI,,WSN,W-wo,6,5,10,13-17,3,7.5,Neris,Treinen,,3:51,D,"30,464",+
31,"Tuesday, May 9",boxscore,PHI,,SEA,L,9,10,,13-18,3,7,Vincent,Neris,Diaz,3:48,N,"31,715",-
32,"Wednesday, May 10",boxscore,PHI,,SEA,L,6,11,,13-19,3,8,Zych,Benoit,,3:40,D,"26,697",--
33,"Saturday, May 13",boxscore,PHI,@,WSN,L-wo,4,6,,13-20,3,9,Kelley,Ramos,,3:34,N,"31,473",---
34,"Sunday, May 14 (1)",boxscore,PHI,@,WSN,W,4,3,,14-20,3,9,Benoit,Kelley,Neris,3:02,D,"31,738",+
35,"Sunday, May 14 (2)",boxscore,PHI,@,WSN,L,5,6,,14-21,3,9,Turner,Neshek,Albers,3:34,N,"30,137",-
36,"Tuesday, May 16",boxscore,PHI,@,TEX,L,1,5,,14-22,4,10,Darvish,Eickhoff,,2:44,N,"23,110",--
37,"Wednesday, May 17",boxscore,PHI,@,TEX,L,3,9,,14-23,4,10,Cashner,Eflin,,2:48,N,"28,703",---
38,"Thursday, May 18",boxscore,PHI,@,TEX,L,4,8,,14-24,4,10,Perez,Rodriguez,,3:12,D,"35,007",----
39,"Friday, May 19",boxscore,PHI,@,PIT,W,7,2,,15-24,4,9,Hellickson,Williams,,2:54,N,"25,795",+
40,"Saturday, May 20",boxscore,PHI,@,PIT,L,3,6,,15-25,4,9,Nova,Velasquez,Watson,2:52,D,"32,572",-
41,"Sunday, May 21",boxscore,PHI,@,PIT,L,0,1,,15-26,4,10,LeBlanc,Nola,Watson,2:45,D,"24,445",--
42,"Monday, May 22",boxscore,PHI,,COL,L,1,8,,15-27,4,10.5,Hoffman,Eickhoff,,3:03,N,"21,251",---
43,"Tuesday, May 23",boxscore,PHI,,COL,L,2,8,,15-28,5,11.5,Marquez,Eflin,,2:44,N,"17,109",----
44,"Wednesday, May 24",boxscore,PHI,,COL,L,2,7,,15-29,5,12.5,Chatwood,Hellickson,,3:09,N,"19,160",-----
45,"Thursday, May 25",boxscore,PHI,,COL,W-wo,2,1,11,16-29,4,11.5,Gomez,Oberg,,3:39,D,"18,143",+
46,"Friday, May 26",boxscore,PHI,,CIN,L,2,5,,16-30,5,12.5,Adleman,Nola,Iglesias,2:34,N,"21,388",-
47,"Saturday, May 27",boxscore,PHI,,CIN,W-wo,4,3,,17-30,4,12.5,Neris,Lorenzen,,2:47,D,"30,100",+
48,"Sunday, May 28",boxscore,PHI,,CIN,L,4,8,,17-31,5,12.5,Feldman,Eflin,,2:50,D,"25,413",-
49,"Monday, May 29",boxscore,PHI,@,MIA,L,1,4,,17-32,5,13.5,Volquez,Hellickson,Ramos,2:37,N,"17,032",--
50,"Tuesday, May 30",boxscore,PHI,@,MIA,L,2,7,,17-33,5,14.5,McGowan,Velasquez,,3:07,N,"16,241",---
51,"Wednesday, May 31",boxscore,PHI,@,MIA,L,2,10,,17-34,5,15.5,Straily,Nola,,3:16,D,"15,197",----
Gm#,June,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
52,"Friday, Jun 2",boxscore,PHI,,SFG,L,0,10,,17-35,5,16.5,Blach,Eickhoff,,2:55,N,"22,491",-----
53,"Saturday, Jun 3",boxscore,PHI,,SFG,W,5,3,,18-35,5,15.5,Lively,Cueto,Gomez,2:50,D,"32,413",+
54,"Sunday, Jun 4",boxscore,PHI,,SFG,W,9,7,,19-35,5,15.5,Neshek,Law,Neris,3:28,D,"25,063",++
55,"Monday, Jun 5",boxscore,PHI,@,ATL,W,11,4,,20-35,5,15.5,Pivetta,Colon,,3:18,N,"20,942",+++
56,"Tuesday, Jun 6",boxscore,PHI,@,ATL,W,3,1,,21-35,5,15.5,Nola,Garcia,Neshek,2:42,N,"23,489",++++
57,"Wednesday, Jun 7",boxscore,PHI,@,ATL,L,1,14,,21-36,5,15.5,Foltynewicz,Eickhoff,,2:58,N,"24,185",-
58,"Thursday, Jun 8",boxscore,PHI,@,ATL,L,1,3,,21-37,5,16.5,Dickey,Lively,Johnson,2:40,N,"25,095",--
59,"Friday, Jun 9",boxscore,PHI,@,STL,L,2,3,,21-38,5,16.5,Wacha,Hellickson,Oh,2:43,N,"42,971",---
60,"Saturday, Jun 10",boxscore,PHI,@,STL,L,0,7,,21-39,5,16.5,Martinez,Pivetta,,2:28,D,"43,911",----
61,"Sunday, Jun 11",boxscore,PHI,@,STL,L,5,6,,21-40,5,16.5,Wainwright,Nola,Oh,3:09,D,"47,325",-----
62,"Monday, Jun 12",boxscore,PHI,@,BOS,L-wo,5,6,11,21-41,5,16.5,Barnes,Fien,,4:16,N,"36,757",------
63,"Tuesday, Jun 13",boxscore,PHI,@,BOS,L-wo,3,4,12,21-42,5,17.5,Abad,Garcia,,4:24,N,"37,141",-------
64,"Wednesday, Jun 14",boxscore,PHI,,BOS,L,3,7,,21-43,5,17.5,Velazquez,Hellickson,,3:26,N,"28,263",--------
65,"Thursday, Jun 15",boxscore,PHI,,BOS,W,1,0,,22-43,5,17.5,Neshek,Sale,Neris,2:25,N,"30,729",+
66,"Friday, Jun 16",boxscore,PHI,,ARI,L,4,5,,22-44,5,18.5,Corbin,Nola,Rodney,3:12,N,"18,140",-
67,"Saturday, Jun 17",boxscore,PHI,,ARI,L,1,5,,22-45,5,19.5,De La Rosa,Ramos,,3:25,D,"21,108",--
68,"Sunday, Jun 18",boxscore,PHI,,ARI,L,4,5,10,22-46,5,19.5,Bradley,Gomez,Rodney,4:12,D,"31,131",---
69,"Tuesday, Jun 20",boxscore,PHI,,STL,L,1,8,11,22-47,5,20,Siegrist,Ramos,,3:28,N,"22,070",----
70,"Wednesday, Jun 21",boxscore,PHI,,STL,L,6,7,10,22-48,5,20,Cecil,Ramos,Oh,3:29,N,"25,037",-----
