Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,"Monday, Apr 3",boxscore,PIT,@,BOS,L,3,5,,0-1,2,1,Porcello,Cole,Kimbrel,3:03,D,"36,594",-
2,"Wednesday, Apr 5",boxscore,PIT,@,BOS,L-wo,0,3,12,0-2,5,1,Kelly,Bastardo,,3:53,N,"36,137",--
3,"Friday, Apr 7",boxscore,PIT,,ATL,W,5,4,,1-2,3,1.5,Nova,Foltynewicz,Watson,3:18,D,"36,484",+
4,"Saturday, Apr 8",boxscore,PIT,,ATL,W,6,4,,2-2,3,0.5,Kuhl,Dickey,Watson,3:00,N,"31,756",++
5,"Sunday, Apr 9",boxscore,PIT,,ATL,W-wo,6,5,10,3-2,3,0.5,Rivero,Ramirez,,3:14,D,"22,713",+++
6,"Monday, Apr 10",boxscore,PIT,,CIN,L,1,7,,3-3,3,1.5,Lorenzen,Glasnow,,3:05,N,"28,264",-
7,"Tuesday, Apr 11",boxscore,PIT,,CIN,L,2,6,,3-4,3,2.5,Storen,Nicasio,Iglesias,3:04,N,"11,027",--
8,"Wednesday, Apr 12",boxscore,PIT,,CIN,L,2,9,,3-5,4,3.5,Garrett,Nova,,2:54,N,"12,327",---
9,"Thursday, Apr 13",boxscore,PIT,@,BOS,L,3,4,,3-6,4,3.5,Barnes,Nicasio,Kimbrel,3:15,D,"32,400",----
10,"Friday, Apr 14",boxscore,PIT,@,CHC,W,4,2,,4-6,4,2.5,Cole,Hendricks,Watson,3:15,D,"40,430",+
11,"Saturday, Apr 15",boxscore,PIT,@,CHC,W,8,7,,5-6,4,2.5,Williams,Strop,Watson,3:25,D,"41,814",++
12,"Sunday, Apr 16",boxscore,PIT,@,CHC,W,6,1,,6-6,3,1.5,Taillon,Uehara,,3:02,D,"39,422",+++
13,"Monday, Apr 17",boxscore,PIT,@,STL,L,1,2,,6-7,3,2,Lynn,Nova,Oh,2:14,N,"40,172",-
14,"Tuesday, Apr 18",boxscore,PIT,@,STL,L,1,2,,6-8,4,3,Leake,Kuhl,Oh,2:31,N,"38,806",--
15,"Wednesday, Apr 19",boxscore,PIT,@,STL,L,1,2,,6-9,4,3,Wacha,Cole,Rosenthal,2:40,D,"40,182",---
16,"Friday, Apr 21",boxscore,PIT,,NYY,W,6,3,,7-9,4,2,Nicasio,Sabathia,Watson,3:19,N,"30,565",+
17,"Saturday, Apr 22",boxscore,PIT,,NYY,L,5,11,,7-10,5,3,Betances,Rivero,,3:17,D,"36,140",-
18,"Sunday, Apr 23",boxscore,PIT,,NYY,W,2,1,,8-10,4,2,Nova,Montgomery,Watson,2:39,D,"27,840",+
19,"Monday, Apr 24",boxscore,PIT,,CHC,L,3,14,,8-11,5,3,Anderson,Kuhl,,3:22,N,"13,445",-
20,"Tuesday, Apr 25",boxscore,PIT,,CHC,L,0,1,,8-12,5,4,Hendricks,Cole,Davis,2:44,N,"15,326",--
21,"Wednesday, Apr 26",boxscore,PIT,,CHC,W,6,5,,9-12,5,3,LeBlanc,Lester,Watson,3:22,N,"16,904",+
22,"Friday, Apr 28",boxscore,PIT,@,MIA,W,12,2,,10-12,4,2,Taillon,Conley,,3:31,N,"19,690",++
23,"Saturday, Apr 29",boxscore,PIT,@,MIA,W,4,0,,11-12,3,2,Nova,Straily,,2:31,N,"33,152",+++
24,"Sunday, Apr 30",boxscore,PIT,@,MIA,L,3,10,,11-13,4,2,McGowan,Williams,,3:36,D,"26,245",-
Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
25,"Monday, May 1",boxscore,PIT,@,CIN,L-wo,3,4,10,11-14,5,2,Lorenzen,Hudson,,3:13,N,"14,753",--
26,"Tuesday, May 2",boxscore,PIT,@,CIN,W,12,3,,12-14,4,2,Glasnow,Feldman,LeBlanc,3:00,N,"13,909",+
27,"Wednesday, May 3",boxscore,PIT,@,CIN,L,2,7,,12-15,5,3,Davis,Taillon,,2:48,N,"14,297",-
28,"Thursday, May 4",boxscore,PIT,@,CIN,L,2,4,,12-16,5,4,Adleman,Nova,Iglesias,2:40,D,"17,896",--
29,"Friday, May 5",boxscore,PIT,,MIL,W,4,0,,13-16,5,3,LeBlanc,Scahill,,2:41,N,"21,129",+
30,"Saturday, May 6",boxscore,PIT,,MIL,W-wo,2,1,10,14-16,5,2,Watson,Torres,,2:58,N,"22,902",++
31,"Sunday, May 7",boxscore,PIT,,MIL,L,2,6,,14-17,5,3,Davies,Glasnow,,3:07,D,"25,108",-
32,"Monday, May 8",boxscore,PIT,@,LAD,L,1,12,,14-18,5,3.5,Wood,Williams,,3:08,N,"37,314",--
33,"Tuesday, May 9",boxscore,PIT,@,LAD,L-wo,3,4,10,14-19,5,4.5,Jansen,Hudson,,3:38,N,"47,720",---
34,"Wednesday, May 10",boxscore,PIT,@,LAD,L,2,5,,14-20,5,5.5,Maeda,Kuhl,,2:37,N,"40,719",----
35,"Thursday, May 11",boxscore,PIT,@,ARI,L,1,2,,14-21,5,6,Greinke,Cole,Rodney,2:34,N,"17,527",-----
36,"Friday, May 12",boxscore,PIT,@,ARI,L,4,11,,14-22,5,6,Corbin,Glasnow,,2:57,N,"21,911",------
37,"Saturday, May 13",boxscore,PIT,@,ARI,W,4,3,,15-22,5,6,Williams,Walker,Watson,3:00,N,"31,673",+
38,"Sunday, May 14",boxscore,PIT,@,ARI,W,6,4,10,16-22,5,6,Watson,Wilhelmsen,,4:08,D,"34,088",++
39,"Tuesday, May 16",boxscore,PIT,,WSN,L,4,8,,16-23,5,6,Strasburg,Kuhl,,3:30,N,"16,992",-
40,"Wednesday, May 17",boxscore,PIT,,WSN,W,6,1,,17-23,5,5.5,Cole,Turner,,3:03,N,"18,803",+
41,"Thursday, May 18",boxscore,PIT,,WSN,W,10,4,,18-23,5,5.5,Glasnow,Roark,,3:17,D,"27,728",++
42,"Friday, May 19",boxscore,PIT,,PHI,L,2,7,,18-24,5,6.5,Hellickson,Williams,,2:54,N,"25,795",-
43,"Saturday, May 20",boxscore,PIT,,PHI,W,6,3,,19-24,5,6,Nova,Velasquez,Watson,2:52,D,"32,572",+
44,"Sunday, May 21",boxscore,PIT,,PHI,W,1,0,,20-24,5,5,LeBlanc,Nola,Watson,2:45,D,"24,445",++
45,"Monday, May 22",boxscore,PIT,@,ATL,L,2,5,,20-25,5,5.5,Foltynewicz,Cole,Johnson,3:23,N,"21,896",-
