Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,"Monday, Apr 3",boxscore,TEX,,CLE,L,5,8,,0-1,3,1,Miller,Dyson,Allen,3:21,N,"48,350",-
2,"Tuesday, Apr 4",boxscore,TEX,,CLE,L,3,4,,0-2,4,2,Carrasco,Perez,Allen,3:14,N,"23,574",--
3,"Wednesday, Apr 5",boxscore,TEX,,CLE,L,6,9,,0-3,4,3,Armstrong,Dyson,Shaw,3:25,N,"24,649",---
4,"Friday, Apr 7",boxscore,TEX,,OAK,W,10,5,,1-3,4,1.5,Claudio,Alcantara,,2:56,N,"34,235",+
5,"Saturday, Apr 8",boxscore,TEX,,OAK,L,1,6,,1-4,4,2.5,Graveman,Darvish,,2:59,N,"44,410",-
6,"Sunday, Apr 9",boxscore,TEX,,OAK,W,8,1,,2-4,4,2.5,Perez,Manaea,,3:16,D,"36,905",+
7,"Tuesday, Apr 11",boxscore,TEX,@,LAA,L-wo,5,6,10,2-5,4,3.5,Bedrosian,Jeffress,,3:33,N,"34,044",-
8,"Wednesday, Apr 12",boxscore,TEX,@,LAA,W,8,3,,3-5,4,2.5,Griffin,Chavez,Leclerc,2:59,N,"34,599",+
9,"Thursday, Apr 13",boxscore,TEX,@,LAA,W,8,3,,4-5,4,1.5,Darvish,Nolasco,,3:14,D,"30,255",++
10,"Friday, Apr 14",boxscore,TEX,@,SEA,L,1,2,,4-6,4,2.5,Hernandez,Leclerc,Diaz,3:05,N,"41,855",-
11,"Saturday, Apr 15",boxscore,TEX,@,SEA,L,0,5,,4-7,4,3.5,Paxton,Cashner,,2:24,N,"34,927",--
12,"Sunday, Apr 16",boxscore,TEX,@,SEA,L-wo,7,8,,4-8,5,4,Diaz,Dyson,,3:39,D,"19,678",---
13,"Monday, Apr 17",boxscore,TEX,@,OAK,W,7,0,,5-8,4,4,Griffin,Cotton,,2:46,N,"10,406",+
14,"Tuesday, Apr 18",boxscore,TEX,@,OAK,L,2,4,,5-9,5,4,Triggs,Darvish,Casilla,2:48,N,"12,091",-
15,"Wednesday, Apr 19",boxscore,TEX,@,OAK,L,1,9,,5-10,5,5,Hahn,Perez,,2:47,D,"14,031",--
16,"Thursday, Apr 20",boxscore,TEX,,KCR,W-wo,1,0,13,6-10,5,5,Alvarez,Wood,,3:47,N,"26,898",+
17,"Friday, Apr 21",boxscore,TEX,,KCR,W,6,2,,7-10,3,5,Hamels,Karns,,2:45,N,"31,320",++
18,"Saturday, Apr 22",boxscore,TEX,,KCR,W-wo,2,1,,8-10,3,4,Bush,Wood,,2:38,N,"41,446",+++
