Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,"Monday, Apr 3",boxscore,CIN,,PHI,L,3,4,,0-1,2,1,Hellickson,Feldman,Gomez,3:04,D,"43,804",-
2,"Wednesday, Apr 5",boxscore,CIN,,PHI,W,2,0,,1-1,1,Tied,Finnegan,Eickhoff,Iglesias,2:25,N,"19,944",+
3,"Thursday, Apr 6",boxscore,CIN,,PHI,W,7,4,,2-1,1,Tied,Reed,Morgan,Storen,3:05,D,"10,586",++
4,"Friday, Apr 7",boxscore,CIN,@,STL,W,2,0,,3-1,1,up 1.0,Garrett,Leake,Iglesias,2:17,N,"44,653",+++
5,"Saturday, Apr 8",boxscore,CIN,@,STL,L,4,10,,3-2,1,Tied,Wacha,Arroyo,,2:47,D,"46,558",-
6,"Sunday, Apr 9",boxscore,CIN,@,STL,W,8,0,,4-2,1,Tied,Feldman,Martinez,,2:44,D,"45,200",+
7,"Monday, Apr 10",boxscore,CIN,@,PIT,W,7,1,,5-2,1,Tied,Lorenzen,Glasnow,,3:05,N,"28,264",++
8,"Tuesday, Apr 11",boxscore,CIN,@,PIT,W,6,2,,6-2,1,up 0.5,Storen,Nicasio,Iglesias,3:04,N,"11,027",+++
9,"Wednesday, Apr 12",boxscore,CIN,@,PIT,W,9,2,,7-2,1,up 1.5,Garrett,Nova,,2:54,N,"12,327",++++
10,"Thursday, Apr 13",boxscore,CIN,,MIL,L,1,5,,7-3,1,up 0.5,Nelson,Arroyo,,2:25,N,"13,574",-
11,"Friday, Apr 14",boxscore,CIN,,MIL,L,4,10,,7-4,1,up 0.5,Milone,Wood,,3:21,N,"23,850",--
12,"Saturday, Apr 15",boxscore,CIN,,MIL,W,7,5,,8-4,1,up 1.5,Iglesias,Torres,Lorenzen,3:10,D,"31,008",+
13,"Sunday, Apr 16",boxscore,CIN,,MIL,L,2,4,,8-5,1,up 1.0,Peralta,Romano,Feliz,2:56,D,"12,625",-
14,"Tuesday, Apr 18",boxscore,CIN,,BAL,W,9,3,,9-5,1,up 1.5,Arroyo,Gausman,,3:05,N,"16,018",+
15,"Wednesday, Apr 19",boxscore,CIN,,BAL,L,0,2,,9-6,1,up 1.0,Jimenez,Garrett,Brach,2:28,N,"15,083",-
16,"Thursday, Apr 20",boxscore,CIN,,BAL,L,1,2,10,9-7,1,up 0.5,O'Day,Wood,Brach,2:37,N,"11,910",--
17,"Friday, Apr 21",boxscore,CIN,,CHC,L,5,6,11,9-8,2,0.5,Edwards,Stephenson,Davis,3:57,N,"29,350",---
18,"Saturday, Apr 22",boxscore,CIN,,CHC,L,8,12,,9-9,2,1.5,Arrieta,Reed,,3:24,D,"27,189",----
19,"Sunday, Apr 23",boxscore,CIN,,CHC,W,7,5,,10-9,2,0.5,Arroyo,Lackey,,2:26,D,"32,670",+
20,"Monday, Apr 24",boxscore,CIN,@,MIL,L,7,11,,10-10,2,1.5,Torres,Garrett,,3:24,N,"23,943",-
21,"Tuesday, Apr 25",boxscore,CIN,@,MIL,L,1,9,,10-11,3,2.5,Davies,Feldman,Milone,2:59,N,"28,449",--
22,"Wednesday, Apr 26",boxscore,CIN,@,MIL,L,4,9,,10-12,3,2.5,Peralta,Davis,,2:53,D,"19,062",---
23,"Friday, Apr 28",boxscore,CIN,@,STL,L,5,7,,10-13,5,2.5,Lynn,Adleman,Oh,3:08,N,"42,722",----
24,"Sunday, Apr 30",boxscore,CIN,@,STL,W,5,4,,11-13,4,2,Peralta,Rosenthal,Iglesias,3:20,D,"45,282",+
Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
25,"Monday, May 1",boxscore,CIN,,PIT,W-wo,4,3,10,12-13,3,1,Lorenzen,Hudson,,3:13,N,"14,753",++
26,"Tuesday, May 2",boxscore,CIN,,PIT,L,3,12,,12-14,4,2,Glasnow,Feldman,LeBlanc,3:00,N,"13,909",-
27,"Wednesday, May 3",boxscore,CIN,,PIT,W,7,2,,13-14,4,2,Davis,Taillon,,2:48,N,"14,297",+
28,"Thursday, May 4",boxscore,CIN,,PIT,W,4,2,,14-14,3,2,Adleman,Nova,Iglesias,2:40,D,"17,896",++
29,"Friday, May 5",boxscore,CIN,,SFG,W,13,3,,15-14,2,1,Arroyo,Cain,,3:15,N,"22,724",+++
30,"Saturday, May 6",boxscore,CIN,,SFG,W,14,2,,16-14,1,Tied,Garrett,Blach,Stephenson,2:46,N,"20,213",++++
31,"Sunday, May 7",boxscore,CIN,,SFG,W,4,0,,17-14,1,up 0.5,Feldman,Cueto,,2:28,D,"21,142",+++++
32,"Monday, May 8",boxscore,CIN,,NYY,L,4,10,,17-15,2,0.5,Tanaka,Davis,,3:28,N,"25,960",-
33,"Tuesday, May 9",boxscore,CIN,,NYY,W,5,3,,18-15,2,0.5,Adleman,Sabathia,Iglesias,2:49,N,"22,035",+
34,"Thursday, May 11",boxscore,CIN,@,SFG,W,3,2,,19-15,2,0.5,Peralta,Strickland,Iglesias,2:36,N,"41,193",++
35,"Friday, May 12",boxscore,CIN,@,SFG,L-wo,2,3,17,19-16,2,0.5,Gearrin,Stephenson,,5:28,N,"41,325",-
36,"Saturday, May 13",boxscore,CIN,@,SFG,L,1,3,,19-17,3,1.5,Moore,Bonilla,Law,2:33,D,"41,269",--
37,"Sunday, May 14",boxscore,CIN,@,SFG,L,3,8,,19-18,3,2.5,Samardzija,Adleman,,2:55,D,"42,122",---
38,"Tuesday, May 16",boxscore,CIN,@,CHC,L,5,9,,19-19,3,2.5,Lackey,Arroyo,,3:07,N,"40,653",----
39,"Wednesday, May 17",boxscore,CIN,@,CHC,L,5,7,,19-20,4,3,Hendricks,Feldman,Davis,3:06,N,"38,715",-----
40,"Thursday, May 18",boxscore,CIN,@,CHC,L,5,9,,19-21,4,4,Lester,Garrett,Uehara,3:03,D,"36,023",------
41,"Friday, May 19",boxscore,CIN,,COL,L,6,12,,19-22,4,5,Anderson,Bonilla,,3:38,N,"23,184",-------
42,"Saturday, May 20",boxscore,CIN,,COL,W,12,8,,20-22,4,4.5,Wojciechowski,Dunn,,3:32,D,"25,188",+
43,"Sunday, May 21",boxscore,CIN,,COL,L,4,6,,20-23,4,4.5,Freeland,Arroyo,Holland,3:14,D,"23,352",-
44,"Monday, May 22",boxscore,CIN,,CLE,W,5,1,,21-23,4,4,Feldman,Tomlin,,2:39,N,"26,794",+
45,"Tuesday, May 23",boxscore,CIN,,CLE,L,7,8,,21-24,4,4,Miller,Storen,Allen,3:16,N,"26,334",-
46,"Wednesday, May 24",boxscore,CIN,@,CLE,W,4,3,,22-24,4,3,Lorenzen,Allen,Iglesias,3:07,N,"19,426",+
47,"Friday, May 26",boxscore,CIN,@,PHI,W,5,2,,23-24,4,2,Adleman,Nola,Iglesias,2:34,N,"21,388",++
48,"Saturday, May 27",boxscore,CIN,@,PHI,L-wo,3,4,,23-25,4,2.5,Neris,Lorenzen,,2:47,D,"30,100",-
49,"Sunday, May 28",boxscore,CIN,@,PHI,W,8,4,,24-25,4,2.5,Feldman,Eflin,,2:50,D,"25,413",+
50,"Monday, May 29",boxscore,CIN,@,TOR,L,2,17,,24-26,4,2.5,Stroman,Bonilla,,3:06,N,"29,844",-
51,"Tuesday, May 30",boxscore,CIN,@,TOR,L,4,6,,24-27,4,2.5,Smith,Wood,Osuna,2:53,N,"32,747",--
52,"Wednesday, May 31",boxscore,CIN,@,TOR,L,4,5,,24-28,4,3.5,Grilli,Peralta,Osuna,2:53,D,"44,058",---
Gm#,June,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
53,"Friday, Jun 2",boxscore,CIN,,ATL,W-wo,3,2,10,25-28,4,3,Iglesias,Ramirez,,3:03,N,"27,300",+
54,"Saturday, Jun 3",boxscore,CIN,,ATL,L,5,6,12,25-29,4,3,Johnson,Wood,,4:20,D,"26,485",-
55,"Sunday, Jun 4",boxscore,CIN,,ATL,L,8,13,,25-30,4,4,Teheran,Garrett,,3:23,D,"26,227",--
56,"Monday, Jun 5",boxscore,CIN,,STL,W,4,2,,26-30,4,3,Bonilla,Martinez,Iglesias,2:35,N,"16,325",+
57,"Tuesday, Jun 6",boxscore,CIN,,STL,W,13,1,,27-30,3,3,Adleman,Wainwright,,2:47,N,"18,620",++
58,"Wednesday, Jun 7",boxscore,CIN,,STL,W,6,4,,28-30,3,3,Peralta,Cecil,Iglesias,2:45,N,"20,891",+++
59,"Thursday, Jun 8",boxscore,CIN,,STL,W,5,2,,29-30,3,2,Feldman,Leake,Iglesias,2:21,D,"28,917",++++
60,"Friday, Jun 9",boxscore,CIN,@,LAD,L,2,7,,29-31,3,3,Hill,Garrett,Maeda,3:02,N,"44,036",-
61,"Saturday, Jun 10",boxscore,CIN,@,LAD,L-wo,4,5,,29-32,3,3,Jansen,Storen,,3:04,N,"43,439",--
62,"Sunday, Jun 11",boxscore,CIN,@,LAD,L,7,9,,29-33,4,3,Avilan,Iglesias,Jansen,2:58,D,"42,674",---
63,"Monday, Jun 12",boxscore,CIN,@,SDP,L,3,9,,29-34,4,3.5,Perdomo,Arroyo,,2:39,N,"17,006",----
64,"Tuesday, Jun 13",boxscore,CIN,@,SDP,L,2,6,,29-35,5,4,Richard,Feldman,Maurer,2:35,N,"20,463",-----
65,"Wednesday, Jun 14",boxscore,CIN,@,SDP,L,2,4,,29-36,5,5,Chacin,Lorenzen,Maurer,2:26,D,"20,386",------
66,"Friday, Jun 16",boxscore,CIN,,LAD,L,1,3,,29-37,5,6.5,Wood,Adleman,Jansen,2:45,N,"35,613",-------
67,"Saturday, Jun 17",boxscore,CIN,,LAD,L,2,10,,29-38,5,6.5,Ryu,Wojciechowski,,3:28,D,"42,431",--------
