Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,"Monday, Apr 3",boxscore,BOS,,PIT,W,5,3,,1-0,1,Tied,Porcello,Cole,Kimbrel,3:03,D,"36,594",+
2,"Wednesday, Apr 5",boxscore,BOS,,PIT,W-wo,3,0,12,2-0,1,Tied,Kelly,Bastardo,,3:53,N,"36,137",++
3,"Friday, Apr 7",boxscore,BOS,@,DET,L,5,6,,2-1,2,1,Rodriguez,Hembree,,3:35,D,"45,013",-
4,"Saturday, Apr 8",boxscore,BOS,@,DET,L,1,4,,2-2,3,2,Zimmermann,Rodriguez,Wilson,3:05,D,"32,622",--
5,"Sunday, Apr 9",boxscore,BOS,@,DET,W,7,5,,3-2,3,1,Barnes,Rondon,Kimbrel,3:27,D,"33,662",+
6,"Monday, Apr 10",boxscore,BOS,@,DET,L,1,2,,3-3,3,1.5,Wilson,Sale,Rodriguez,2:44,D,"24,672",-
7,"Tuesday, Apr 11",boxscore,BOS,,BAL,W,8,1,,4-3,3,0.5,Pomeranz,Bundy,,3:15,N,"37,497",+
8,"Wednesday, Apr 12",boxscore,BOS,,BAL,L,5,12,,4-4,3,1.5,Givens,Wright,,3:46,N,"32,211",-
9,"Thursday, Apr 13",boxscore,BOS,,PIT,W,4,3,,5-4,2,1.5,Barnes,Nicasio,Kimbrel,3:15,D,"32,400",+
10,"Friday, Apr 14",boxscore,BOS,,TBR,L,5,10,,5-5,4,2.5,Archer,Porcello,,3:37,N,"36,813",-
11,"Saturday, Apr 15",boxscore,BOS,,TBR,W,2,1,,6-5,3,1.5,Sale,Hunter,Kimbrel,2:54,D,"36,686",+
12,"Sunday, Apr 16",boxscore,BOS,,TBR,W,7,5,,7-5,3,1.5,Kelly,Farquhar,Kimbrel,3:46,D,"36,209",++
13,"Monday, Apr 17",boxscore,BOS,,TBR,W,4,3,,8-5,3,1,Wright,Snell,Kimbrel,3:07,D,"37,318",+++
14,"Tuesday, Apr 18",boxscore,BOS,@,TOR,W,8,7,,9-5,1,Tied,Johnson,Stroman,,3:48,N,"29,281",++++
15,"Wednesday, Apr 19",boxscore,BOS,@,TOR,L,0,3,,9-6,3,1,Liriano,Porcello,Osuna,2:45,N,"30,842",-
16,"Thursday, Apr 20",boxscore,BOS,@,TOR,W,4,1,10,10-6,3,1,Kimbrel,Grilli,,3:07,D,"44,283",+
17,"Friday, Apr 21",boxscore,BOS,@,BAL,L,0,2,,10-7,3,2,Bundy,Pomeranz,Brach,3:20,N,"34,442",-
18,"Saturday, Apr 22",boxscore,BOS,@,BAL,L,2,4,,10-8,3,3,Aquino,Wright,O'Day,2:47,N,"35,457",--
19,"Sunday, Apr 23",boxscore,BOS,@,BAL,W,6,2,,11-8,3,2,Rodriguez,Gausman,Kimbrel,3:34,D,"35,522",+
20,"Wednesday, Apr 26",boxscore,BOS,,NYY,L,1,3,,11-9,3,3,Severino,Porcello,Chapman,3:16,N,"32,072",-
21,"Thursday, Apr 27",boxscore,BOS,,NYY,L,0,3,,11-10,3,3.5,Tanaka,Sale,,2:21,N,"34,054",--
22,"Friday, Apr 28",boxscore,BOS,,CHC,W,5,4,,12-10,3,2.5,Pomeranz,Arrieta,Kimbrel,3:28,N,"37,054",+
23,"Saturday, Apr 29",boxscore,BOS,,CHC,L,4,7,,12-11,3,3.5,Lackey,Wright,Davis,3:00,D,"36,776",-
24,"Sunday, Apr 30",boxscore,BOS,,CHC,W,6,2,,13-11,3,2.5,Barnes,Uehara,,3:28,N,"36,916",+
Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
25,"Monday, May 1",boxscore,BOS,,BAL,L,2,5,,13-12,3,3.5,Bundy,Porcello,Brach,3:10,N,"33,489",-
26,"Tuesday, May 2",boxscore,BOS,,BAL,W,5,2,,14-12,3,2.5,Sale,Asher,Kimbrel,2:33,N,"32,932",+
27,"Wednesday, May 3",boxscore,BOS,,BAL,W,4,2,,15-12,3,2.5,Pomeranz,Gausman,Kimbrel,3:24,N,"33,162",++
28,"Thursday, May 4",boxscore,BOS,,BAL,L,3,8,,15-13,3,3,Wilson,Kendrick,,3:21,N,"36,563",-
29,"Friday, May 5",boxscore,BOS,@,MIN,L-wo,3,4,,15-14,3,4,Kintzler,Barnes,,3:24,N,"28,707",--
30,"Saturday, May 6",boxscore,BOS,@,MIN,W,11,1,,16-14,3,4,Porcello,Tepesch,,3:03,D,"30,859",+
31,"Sunday, May 7",boxscore,BOS,@,MIN,W,17,6,,17-14,3,4,Sale,Santana,,3:46,D,"31,763",++
32,"Tuesday, May 9",boxscore,BOS,@,MIL,L,7,11,,17-15,3,5,Torres,Pomeranz,,3:38,N,"22,524",-
33,"Wednesday, May 10",boxscore,BOS,@,MIL,L,4,7,,17-16,3,5,Scahill,Kendrick,,3:37,N,"23,095",--
34,"Thursday, May 11",boxscore,BOS,@,MIL,W,4,1,,18-16,3,4.5,Kimbrel,Feliz,,3:29,D,"26,499",+
35,"Friday, May 12",boxscore,BOS,,TBR,L,4,5,,18-17,3,4.5,Cobb,Porcello,Colome,3:24,N,"36,496",-
36,"Saturday, May 13",boxscore,BOS,,TBR,W,6,3,,19-17,3,3.5,Sale,Snell,Kimbrel,2:54,D,"35,447",+
37,"Sunday, May 14",boxscore,BOS,,TBR,L,2,11,,19-18,3,4,Andriese,Pomeranz,,4:32,D,"35,080",-
38,"Tuesday, May 16",boxscore,BOS,@,STL,W,6,3,,20-18,3,4,Rodriguez,Lynn,Kimbrel,3:21,N,"41,514",+
39,"Wednesday, May 17",boxscore,BOS,@,STL,W,5,4,13,21-18,3,4,Abad,Tuivailala,Taylor,4:20,N,"44,365",++
40,"Thursday, May 18",boxscore,BOS,@,OAK,L,3,8,,21-19,3,4,Gray,Velazquez,,3:09,N,"12,016",-
41,"Friday, May 19",boxscore,BOS,@,OAK,L-wo,2,3,10,21-20,3,4,Dull,Hembree,,3:12,N,"24,728",--
42,"Saturday, May 20",boxscore,BOS,@,OAK,L,3,8,,21-21,4,4.5,Manaea,Taylor,,3:22,D,"20,235",---
43,"Sunday, May 21",boxscore,BOS,@,OAK,W,12,3,,22-21,3,4,Rodriguez,Triggs,,3:11,D,"20,691",+
44,"Tuesday, May 23",boxscore,BOS,,TEX,W,11,6,,23-21,3,3.5,Porcello,Cashner,,3:23,N,"34,769",++
45,"Wednesday, May 24",boxscore,BOS,,TEX,W,9,4,,24-21,3,3.5,Sale,Dyson,,2:59,N,"36,089",+++
46,"Thursday, May 25",boxscore,BOS,,TEX,W,6,2,,25-21,3,3,Pomeranz,Martinez,,3:23,N,"33,484",++++
47,"Friday, May 26",boxscore,BOS,,SEA,W,3,0,,26-21,2,2,Rodriguez,Gallardo,Kimbrel,3:11,N,"35,080",+++++
48,"Saturday, May 27",boxscore,BOS,,SEA,W,6,0,,27-21,2,2,Johnson,Whalen,,2:23,D,"36,985",++++++
49,"Sunday, May 28",boxscore,BOS,,SEA,L,0,5,,27-22,2,3,Bergman,Porcello,,3:14,D,"37,174",-
50,"Monday, May 29",boxscore,BOS,@,CHW,L,4,5,,27-23,2,3,Minaya,Barnes,Robertson,3:16,D,"27,148",--
51,"Tuesday, May 30",boxscore,BOS,@,CHW,W,13,7,,28-23,2,3,Sale,Quintana,Kimbrel,3:53,N,"21,852",+
52,"Wednesday, May 31",boxscore,BOS,@,CHW,W,4,1,,29-23,2,2,Pomeranz,Swarzak,Kimbrel,2:59,N,"19,075",++
Gm#,June,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
53,"Thursday, Jun 1",boxscore,BOS,@,BAL,L,5,7,,29-24,2,3,Miley,Rodriguez,,2:38,N,"20,150",-
54,"Friday, Jun 2",boxscore,BOS,@,BAL,L,2,3,,29-25,3,3,Asher,Porcello,Brach,2:59,N,"33,193",--
55,"Saturday, Jun 3",boxscore,BOS,@,BAL,W,5,2,,30-25,2,3,Price,Bundy,Kimbrel,3:22,N,"35,470",+
56,"Sunday, Jun 4",boxscore,BOS,@,BAL,W,7,3,,31-25,2,2,Sale,Tillman,,3:06,D,"31,819",++
57,"Tuesday, Jun 6",boxscore,BOS,@,NYY,W,5,4,,32-25,2,1,Pomeranz,Tanaka,Kimbrel,3:35,N,"41,516",+++
58,"Wednesday, Jun 7",boxscore,BOS,@,NYY,L,0,8,,32-26,2,2,Sabathia,Porcello,,2:42,N,"44,380",-
59,"Thursday, Jun 8",boxscore,BOS,@,NYY,L,1,9,,32-27,2,3,Pineda,Price,,3:27,N,"46,194",--
60,"Friday, Jun 9",boxscore,BOS,,DET,W,5,3,,33-27,2,3,Barnes,Wilson,Kimbrel,3:36,N,"36,853",+
61,"Saturday, Jun 10",boxscore,BOS,,DET,W,11,3,,34-27,2,3,Sale,Saupold,,3:39,N,"37,162",++
62,"Sunday, Jun 11",boxscore,BOS,,DET,L,3,8,,34-28,2,4,Norris,Pomeranz,,4:06,N,"35,457",-
63,"Monday, Jun 12",boxscore,BOS,,PHI,W-wo,6,5,11,35-28,2,4,Barnes,Fien,,4:16,N,"36,757",+
64,"Tuesday, Jun 13",boxscore,BOS,,PHI,W-wo,4,3,12,36-28,2,3,Abad,Garcia,,4:24,N,"37,141",++
65,"Wednesday, Jun 14",boxscore,BOS,@,PHI,W,7,3,,37-28,2,2,Velazquez,Hellickson,,3:26,N,"28,263",+++
66,"Thursday, Jun 15",boxscore,BOS,@,PHI,L,0,1,,37-29,2,2,Neshek,Sale,Neris,2:25,N,"30,729",-
67,"Friday, Jun 16",boxscore,BOS,@,HOU,W,2,1,,38-29,2,1,Kelly,Harris,Kimbrel,3:11,N,"36,189",+
68,"Saturday, Jun 17",boxscore,BOS,@,HOU,L,1,7,,38-30,2,1,Paulino,Porcello,,2:34,N,"41,017",-
69,"Sunday, Jun 18",boxscore,BOS,@,HOU,W,6,5,,39-30,1,Tied,Price,Musgrove,Kimbrel,4:08,N,"38,389",+
70,"Monday, Jun 19",boxscore,BOS,@,KCR,L,2,4,,39-31,2,0.5,Hammel,Boyer,Herrera,3:11,N,"27,992",-
71,"Tuesday, Jun 20",boxscore,BOS,@,KCR,W,8,3,,40-31,1,up 0.5,Sale,Strahm,,2:54,N,"25,983",+
72,"Wednesday, Jun 21",boxscore,BOS,@,KCR,L,4,6,,40-32,2,0.5,Soria,Scott,Herrera,3:07,D,"30,826",-
73,"Friday, Jun 23",boxscore,BOS,,LAA,W,9,4,,41-32,1,Tied,Porcello,Meyer,,3:07,N,"37,034",+
74,"Saturday, Jun 24",boxscore,BOS,,LAA,L,3,6,,41-33,1,Tied,Ramirez,Price,Parker,3:34,N,"36,868",-
75,"Sunday, Jun 25",boxscore,BOS,,LAA,L,2,4,,41-34,1,Tied,Bridwell,Fister,Petit,2:50,D,"36,474",--
76,"Monday, Jun 26",boxscore,BOS,,MIN,W,4,1,,42-34,1,Tied,Sale,Berrios,Kimbrel,2:55,N,"37,172",+
