Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,"Monday, Apr 3",boxscore,COL,@,MIL,W,7,5,,1-0,1,Tied,Estevez,Marinez,Holland,3:26,D,"43,336",+
2,"Tuesday, Apr 4",boxscore,COL,@,MIL,W,6,5,,2-0,1,up 1.0,Anderson,Davies,Holland,3:34,N,"21,458",++
3,"Wednesday, Apr 5",boxscore,COL,@,MIL,L,1,6,,2-1,1,Tied,Peralta,Chatwood,Feliz,3:03,N,"21,824",-
4,"Thursday, Apr 6",boxscore,COL,@,MIL,W,2,1,,3-1,1,Tied,Dunn,Feliz,Holland,3:07,D,"23,828",+
5,"Friday, Apr 7",boxscore,COL,,LAD,W,2,1,,4-1,1,Tied,Freeland,Ryu,McGee,3:00,D,"49,169",++
6,"Saturday, Apr 8",boxscore,COL,,LAD,W,4,2,,5-1,1,Tied,Dunn,Kershaw,Holland,2:59,N,"48,012",+++
7,"Sunday, Apr 9",boxscore,COL,,LAD,L,6,10,,5-2,2,1,Maeda,Anderson,,3:49,D,"33,529",-
8,"Monday, Apr 10",boxscore,COL,,SDP,L,3,5,,5-3,2,1,Diaz,Chatwood,,2:53,N,"20,504",--
9,"Tuesday, Apr 11",boxscore,COL,,SDP,W,3,2,,6-3,2,1,Senzatela,Diaz,Holland,2:24,N,"20,664",+
10,"Wednesday, Apr 12",boxscore,COL,,SDP,L,0,6,,6-4,2,1,Lee,Freeland,,2:49,D,"20,968",-
11,"Thursday, Apr 13",boxscore,COL,@,SFG,W,3,1,,7-4,2,0.5,Rusin,Bumgarner,Holland,2:50,N,"41,915",+
12,"Friday, Apr 14",boxscore,COL,@,SFG,L,2,8,,7-5,2,0.5,Cueto,Anderson,,2:49,N,"42,738",-
13,"Saturday, Apr 15",boxscore,COL,@,SFG,W,5,0,,8-5,1,up 0.5,Chatwood,Moore,,2:26,D,"42,371",+
14,"Sunday, Apr 16",boxscore,COL,@,SFG,W,4,3,,9-5,1,up 0.5,Senzatela,Samardzija,Holland,2:46,D,"41,455",++
15,"Tuesday, Apr 18",boxscore,COL,@,LAD,W,4,3,,10-5,1,Tied,Rusin,Ryu,Holland,3:17,N,"37,960",+++
16,"Wednesday, Apr 19",boxscore,COL,@,LAD,L,2,4,,10-6,1,Tied,Kershaw,Anderson,Jansen,2:55,N,"45,474",-
17,"Friday, Apr 21",boxscore,COL,,SFG,W,6,5,,11-6,1,up 0.5,Chatwood,Cueto,Holland,2:59,N,"27,663",+
18,"Saturday, Apr 22",boxscore,COL,,SFG,W,12,3,,12-6,1,up 0.5,Senzatela,Moore,,3:01,N,"39,239",++
19,"Sunday, Apr 23",boxscore,COL,,SFG,W,8,0,,13-6,1,up 1.5,Freeland,Samardzija,,2:46,D,"42,011",+++
20,"Monday, Apr 24",boxscore,COL,,WSN,W,8,4,,14-6,1,up 1.5,Estevez,Romero,,3:00,N,"23,019",++++
21,"Tuesday, Apr 25",boxscore,COL,,WSN,L,12,15,,14-7,1,up 0.5,Romero,Marquez,,3:26,N,"21,340",-
22,"Wednesday, Apr 26",boxscore,COL,,WSN,L,4,11,,14-8,1,up 0.5,Roark,Chatwood,,3:23,N,"22,461",--
23,"Thursday, Apr 27",boxscore,COL,,WSN,L,5,16,,14-9,2,0.5,Gonzalez,Senzatela,,3:25,D,"34,929",---
24,"Friday, Apr 28",boxscore,COL,@,ARI,W,3,1,,15-9,1,up 0.5,Freeland,Ray,Holland,2:53,N,"19,300",+
25,"Saturday, Apr 29",boxscore,COL,@,ARI,W,7,6,,16-9,1,up 1.5,Estevez,Rodney,Holland,3:38,N,"30,445",++
26,"Sunday, Apr 30",boxscore,COL,@,ARI,L-wo,0,2,13,16-10,1,up 0.5,Delgado,Lyles,,4:02,D,"23,613",-
Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
27,"Tuesday, May 2",boxscore,COL,@,SDP,L,2,6,,16-11,2,0.5,Cahill,Chatwood,,2:56,N,"18,910",--
28,"Wednesday, May 3",boxscore,COL,@,SDP,W,11,3,,17-11,1,up 0.5,Senzatela,Weaver,,2:53,N,"16,487",+
29,"Thursday, May 4",boxscore,COL,@,SDP,W,3,2,11,18-11,1,up 1.5,Qualls,Hand,Holland,4:13,D,"16,356",++
30,"Friday, May 5",boxscore,COL,,ARI,L,3,6,,18-12,1,up 0.5,Greinke,Marquez,Rodney,2:56,N,"30,030",-
31,"Saturday, May 6",boxscore,COL,,ARI,W,9,1,,19-12,1,up 1.5,Anderson,Corbin,Rusin,3:04,N,"36,165",+
32,"Sunday, May 7",boxscore,COL,,ARI,W,5,2,,20-12,1,up 2.5,Chatwood,Walker,Holland,2:35,D,"39,175",++
33,"Tuesday, May 9 (1)",boxscore,COL,,CHC,W,10,4,,21-12,1,up 1.5,Senzatela,Arrieta,,3:01,D,"34,779",+++
34,"Tuesday, May 9 (2)",boxscore,COL,,CHC,L,1,8,,21-13,1,up 1.5,Lackey,Freeland,,3:01,N,"36,563",-
35,"Wednesday, May 10",boxscore,COL,,CHC,W,3,0,,22-13,1,up 1.5,Marquez,Hendricks,Holland,2:14,D,"35,213",+
36,"Thursday, May 11",boxscore,COL,,LAD,W,10,7,,23-13,1,up 2.5,Hoffman,Ryu,Holland,3:23,N,"27,265",++
37,"Friday, May 12",boxscore,COL,,LAD,L,2,6,,23-14,1,up 1.5,Kershaw,Chatwood,,2:53,N,"40,146",-
38,"Saturday, May 13",boxscore,COL,,LAD,L,0,4,,23-15,1,up 0.5,Wood,Anderson,,3:18,N,"43,534",--
39,"Sunday, May 14",boxscore,COL,,LAD,W,9,6,,24-15,1,up 1.5,Senzatela,Urias,Holland,3:38,D,"41,051",+
40,"Tuesday, May 16",boxscore,COL,@,MIN,W,7,3,,25-15,1,up 2.5,Freeland,Hughes,Holland,3:13,N,"24,295",++
41,"Thursday, May 18 (1)",boxscore,COL,@,MIN,W,5,1,,26-15,1,up 2.0,Marquez,Santana,Holland,2:53,D,"20,603",+++
42,"Thursday, May 18 (2)",boxscore,COL,@,MIN,L,0,2,,26-16,1,up 2.0,Berrios,Chatwood,Kintzler,2:52,N,"17,140",-
43,"Friday, May 19",boxscore,COL,@,CIN,W,12,6,,27-16,1,up 2.0,Anderson,Bonilla,,3:38,N,"23,184",+
44,"Saturday, May 20",boxscore,COL,@,CIN,L,8,12,,27-17,1,up 1.0,Wojciechowski,Dunn,,3:32,D,"25,188",-
45,"Sunday, May 21",boxscore,COL,@,CIN,W,6,4,,28-17,1,up 2.0,Freeland,Arroyo,Holland,3:14,D,"23,352",+
46,"Monday, May 22",boxscore,COL,@,PHI,W,8,1,,29-17,1,up 2.0,Hoffman,Eickhoff,,3:03,N,"21,251",++
47,"Tuesday, May 23",boxscore,COL,@,PHI,W,8,2,,30-17,1,up 2.0,Marquez,Eflin,,2:44,N,"17,109",+++
48,"Wednesday, May 24",boxscore,COL,@,PHI,W,7,2,,31-17,1,up 2.0,Chatwood,Hellickson,,3:09,N,"19,160",++++
49,"Thursday, May 25",boxscore,COL,@,PHI,L-wo,1,2,11,31-18,1,up 1.0,Gomez,Oberg,,3:39,D,"18,143",-
50,"Friday, May 26",boxscore,COL,,STL,W,10,0,,32-18,1,up 1.0,Senzatela,Martinez,,2:25,N,"40,312",+
51,"Saturday, May 27",boxscore,COL,,STL,L,0,3,,32-19,1,up 1.0,Wainwright,Freeland,Oh,3:15,N,"48,106",-
52,"Sunday, May 28",boxscore,COL,,STL,W,8,4,,33-19,1,up 1.5,Marquez,Lynn,,2:52,D,"48,372",+
53,"Monday, May 29",boxscore,COL,,SEA,L,5,6,,33-20,1,up 0.5,Gaviglio,Chatwood,Diaz,3:25,D,"40,298",-
54,"Tuesday, May 30",boxscore,COL,,SEA,L,4,10,,33-21,2,0.5,Miranda,Anderson,,3:11,N,"33,258",--
55,"Wednesday, May 31",boxscore,COL,@,SEA,L,0,5,,33-22,2,0.5,Paxton,Senzatela,,2:46,N,"16,750",---
Gm#,June,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
56,"Thursday, Jun 1",boxscore,COL,@,SEA,W,6,3,,34-22,1,Tied,Freeland,Gallardo,Holland,3:28,D,"21,536",+
57,"Friday, Jun 2",boxscore,COL,@,SDP,L,5,8,,34-23,2,0.5,Richard,Marquez,Maurer,3:02,N,"20,932",-
58,"Saturday, Jun 3",boxscore,COL,@,SDP,W,10,1,,35-23,2,0.5,Chatwood,Chacin,,2:52,D,"20,996",+
59,"Sunday, Jun 4",boxscore,COL,@,SDP,W,3,1,,36-23,1,up 0.5,Hoffman,Cosart,Holland,3:06,D,"24,763",++
60,"Tuesday, Jun 6",boxscore,COL,,CLE,W,11,3,,37-23,1,up 2.0,Senzatela,Clevinger,,2:54,N,"39,508",+++
61,"Wednesday, Jun 7",boxscore,COL,,CLE,W,8,1,,38-23,1,up 2.0,Freeland,Bauer,,3:27,D,"36,909",++++
62,"Thursday, Jun 8",boxscore,COL,@,CHC,W,4,1,,39-23,1,up 2.0,Chatwood,Lester,Holland,2:44,N,"39,385",+++++
63,"Friday, Jun 9",boxscore,COL,@,CHC,W,5,3,,40-23,1,up 2.5,Rusin,Frankoff,Holland,3:42,D,"41,229",++++++
64,"Saturday, Jun 10",boxscore,COL,@,CHC,W,9,1,,41-23,1,up 2.5,Hoffman,Butler,,3:09,D,"41,226",+++++++
65,"Sunday, Jun 11",boxscore,COL,@,CHC,L,5,7,,41-24,1,up 1.5,Edwards,Lyles,Davis,3:20,D,"41,116",-
66,"Monday, Jun 12",boxscore,COL,@,PIT,L,2,7,,41-25,1,up 1.0,Taillon,Freeland,,3:11,N,"16,320",--
67,"Tuesday, Jun 13",boxscore,COL,@,PIT,L,2,5,,41-26,1,Tied,Cole,Ottavino,,2:42,N,"16,764",---
68,"Wednesday, Jun 14",boxscore,COL,@,PIT,W,5,1,,42-26,1,Tied,Marquez,Kuhl,,3:19,N,"17,308",+
69,"Thursday, Jun 15",boxscore,COL,,SFG,W-wo,10,9,,43-26,1,up 1.0,Holland,Strickland,,3:55,N,"40,747",++
70,"Friday, Jun 16",boxscore,COL,,SFG,W,10,8,,44-26,1,up 1.0,Senzatela,Samardzija,Holland,3:09,N,"46,632",+++
71,"Saturday, Jun 17",boxscore,COL,,SFG,W,5,1,,45-26,1,up 1.0,Freeland,Cain,,3:01,D,"48,035",++++
72,"Sunday, Jun 18",boxscore,COL,,SFG,W-wo,7,5,,46-26,1,up 1.0,Estevez,Melancon,,3:16,D,"48,341",+++++
73,"Tuesday, Jun 20",boxscore,COL,,ARI,W,4,3,,47-26,1,up 0.5,Ottavino,Greinke,Holland,2:45,N,"35,016",++++++
74,"Wednesday, Jun 21",boxscore,COL,,ARI,L,5,16,,47-27,2,0.5,Walker,Hoffman,,3:28,N,"40,918",-
75,"Thursday, Jun 22",boxscore,COL,,ARI,L,3,10,,47-28,2,1.5,Godley,Senzatela,,3:06,D,"40,681",--
76,"Friday, Jun 23",boxscore,COL,@,LAD,L,1,6,,47-29,2,2.5,Wood,Freeland,,2:55,N,"43,787",---
77,"Saturday, Jun 24",boxscore,COL,@,LAD,L,0,4,,47-30,3,3.5,Kershaw,Chatwood,,3:18,N,"50,403",----
78,"Sunday, Jun 25",boxscore,COL,@,LAD,L,6,12,,47-31,3,4.5,Baez,Ottavino,Jansen,4:19,D,"41,605",-----
79,"Monday, Jun 26",boxscore,COL,@,SFG,L,2,9,,47-32,3,4.5,Samardzija,Marquez,,3:22,N,"41,388",------
80,"Tuesday, Jun 27",boxscore,COL,@,SFG,L-wo,3,4,14,47-33,3,5.5,Gearrin,Qualls,,4:45,N,"41,331",-------
81,"Wednesday, Jun 28",boxscore,COL,@,SFG,L,3,5,,47-34,3,5.5,Blach,Freeland,Strickland,3:05,D,"41,286",--------
82,"Friday, Jun 30",boxscore,COL,@,ARI,W,6,3,,48-34,3,6,Gray,Ray,Holland,3:31,N,"23,275",+
Gm#,July,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
