Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,"Monday, Apr 3",boxscore,KCR,@,MIN,L,1,7,,0-1,5,1,Santana,Strahm,,2:47,D,"39,615",-
2,"Wednesday, Apr 5",boxscore,KCR,@,MIN,L,1,9,,0-2,5,2.5,Santiago,Kennedy,,3:06,D,"15,171",--
3,"Thursday, Apr 6",boxscore,KCR,@,MIN,L,3,5,,0-3,5,3,Rogers,Minor,Kintzler,3:14,D,"16,078",---
4,"Friday, Apr 7",boxscore,KCR,@,HOU,W,5,1,,1-3,5,3,Vargas,Fiers,,3:12,N,"30,491",+
5,"Saturday, Apr 8",boxscore,KCR,@,HOU,W,7,3,,2-3,5,2,Duffy,Gregerson,,2:42,N,"35,373",++
6,"Sunday, Apr 9",boxscore,KCR,@,HOU,L-wo,4,5,12,2-4,5,3,Devenski,Strahm,,3:49,D,"32,411",-
7,"Monday, Apr 10",boxscore,KCR,,OAK,L,0,2,,2-5,5,3.5,Cotton,Kennedy,Doolittle,2:50,D,"40,019",--
8,"Wednesday, Apr 12",boxscore,KCR,,OAK,L,3,8,,2-6,5,4,Triggs,Hammel,,3:07,N,"24,380",---
9,"Thursday, Apr 13",boxscore,KCR,,OAK,W,3,1,,3-6,5,3,Vargas,Hahn,Herrera,2:39,N,"22,160",+
10,"Friday, Apr 14",boxscore,KCR,,LAA,W,7,1,,4-6,4,3,Duffy,Ramirez,,2:37,N,"26,838",++
11,"Saturday, Apr 15",boxscore,KCR,,LAA,W,3,2,,5-6,4,2,Soria,Alvarez,Herrera,3:16,N,"24,162",+++
12,"Sunday, Apr 16",boxscore,KCR,,LAA,W-wo,1,0,,6-6,4,2,Herrera,Parker,,2:37,D,"27,950",++++
13,"Tuesday, Apr 18",boxscore,KCR,,SFG,L,1,2,11,6-7,5,2,Law,Alexander,Melancon,3:37,N,"20,863",-
14,"Wednesday, Apr 19",boxscore,KCR,,SFG,W,2,0,,7-7,2,1,Vargas,Bumgarner,Herrera,2:28,N,"24,402",+
15,"Thursday, Apr 20",boxscore,KCR,@,TEX,L-wo,0,1,13,7-8,4,1,Alvarez,Wood,,3:47,N,"26,898",-
16,"Friday, Apr 21",boxscore,KCR,@,TEX,L,2,6,,7-9,5,2,Hamels,Karns,,2:45,N,"31,320",--
17,"Saturday, Apr 22",boxscore,KCR,@,TEX,L-wo,1,2,,7-10,5,3,Bush,Wood,,2:38,N,"41,446",---
18,"Sunday, Apr 23",boxscore,KCR,@,TEX,L,2,5,,7-11,5,3,Darvish,Hammel,Bush,3:00,D,"37,177",----
19,"Monday, Apr 24",boxscore,KCR,@,CHW,L,1,12,,7-12,5,3.5,Gonzalez,Vargas,,2:47,N,"11,484",-----
20,"Tuesday, Apr 25",boxscore,KCR,@,CHW,L,5,10,,7-13,5,4.5,Jennings,Duffy,,3:21,N,"14,591",------
21,"Wednesday, Apr 26",boxscore,KCR,@,CHW,L,2,5,,7-14,5,4.5,Quintana,Karns,Robertson,2:58,D,"18,218",-------
22,"Friday, Apr 28",boxscore,KCR,,MIN,L,4,6,,7-15,5,5.5,Breslow,Soria,Kintzler,3:20,N,"27,911",--------
23,"Sunday, Apr 30",boxscore,KCR,,MIN,L,5,7,,7-16,5,6.5,Hughes,Hammel,Kintzler,3:11,D,"32,685",---------
Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
24,"Monday, May 1",boxscore,KCR,,CHW,W,6,1,,8-16,5,5.5,Vargas,Covey,,2:36,N,"20,148",+
25,"Tuesday, May 2",boxscore,KCR,,CHW,L,0,6,,8-17,5,6,Quintana,Duffy,,2:43,N,"18,604",-
26,"Wednesday, May 3",boxscore,KCR,,CHW,W,6,1,,9-17,5,5.5,Karns,Pelfrey,,2:43,N,"22,298",+
27,"Thursday, May 4",boxscore,KCR,,CHW,L,3,8,,9-18,5,6,Holland,Kennedy,,3:00,D,"36,525",-
28,"Friday, May 5",boxscore,KCR,,CLE,W,3,1,,10-18,5,5.5,Hammel,Salazar,Herrera,2:50,N,"25,722",+
29,"Saturday, May 6",boxscore,KCR,,CLE,L,1,3,,10-19,5,6,Miller,Herrera,Allen,2:37,D,"23,743",-
30,"Sunday, May 7",boxscore,KCR,,CLE,L,0,1,,10-20,5,7,Clevinger,Duffy,Allen,2:51,D,"25,754",--
31,"Monday, May 8",boxscore,KCR,@,TBR,W,7,3,,11-20,5,6,Karns,Snell,,3:18,N,"12,826",+
32,"Tuesday, May 9",boxscore,KCR,@,TBR,W,7,6,12,12-20,5,6,Junis,Moreno,Herrera,4:24,N,"9,921",++
33,"Wednesday, May 10",boxscore,KCR,@,TBR,L,1,12,,12-21,5,6,Archer,Hammel,,2:49,N,"9,320",-
34,"Thursday, May 11",boxscore,KCR,@,TBR,W,6,0,,13-21,5,5.5,Vargas,Odorizzi,,2:41,D,"9,340",+
35,"Friday, May 12",boxscore,KCR,,BAL,W,3,2,,14-21,5,5.5,Soria,Nuno,Herrera,2:37,N,"25,467",++
36,"Saturday, May 13",boxscore,KCR,,BAL,W,4,3,,15-21,5,5.5,Maness,Asher,Herrera,3:04,N,"24,662",+++
37,"Sunday, May 14",boxscore,KCR,,BAL,W,9,8,,16-21,5,4.5,Strahm,Bleier,Herrera,3:31,D,"30,662",++++
38,"Tuesday, May 16",boxscore,KCR,,NYY,L,1,7,,16-22,5,4.5,Sabathia,Hammel,,3:02,N,"30,878",-
39,"Wednesday, May 17",boxscore,KCR,,NYY,L,7,11,,16-23,5,5,Pineda,Vargas,Betances,3:23,N,"22,899",--
40,"Thursday, May 18",boxscore,KCR,,NYY,W,5,1,,17-23,5,4.5,Duffy,Montgomery,,2:34,N,"22,803",+
41,"Friday, May 19",boxscore,KCR,@,MIN,L-wo,3,4,10,17-24,5,5.5,Kintzler,Alburquerque,,3:20,N,"23,553",-
42,"Sunday, May 21 (1)",boxscore,KCR,@,MIN,W,6,4,,18-24,5,5.5,Minor,Hughes,Herrera,3:21,D,,+
43,"Sunday, May 21 (2)",boxscore,KCR,@,MIN,L,4,8,,18-25,5,5.5,Mejia,Kennedy,,2:29,D,"27,852",-
44,"Monday, May 22",boxscore,KCR,@,NYY,L,2,4,,18-26,5,6.5,Pineda,Vargas,Betances,2:42,N,"35,005",--
45,"Tuesday, May 23",boxscore,KCR,@,NYY,W,6,2,,19-26,5,6.5,Duffy,Warren,,2:47,N,"35,931",+
46,"Wednesday, May 24",boxscore,KCR,@,NYY,L,0,3,,19-27,5,7.5,Severino,Hammel,Betances,2:40,N,"34,610",-
47,"Friday, May 26",boxscore,KCR,@,CLE,W,6,4,,20-27,5,6.5,Minor,Shaw,Herrera,2:57,N,"29,603",+
48,"Saturday, May 27",boxscore,KCR,@,CLE,W,5,2,,21-27,5,6.5,Vargas,Salazar,Herrera,3:06,D,"30,920",++
49,"Sunday, May 28",boxscore,KCR,@,CLE,L,1,10,,21-28,5,6.5,Tomlin,Duffy,,2:48,D,"23,136",-
50,"Monday, May 29",boxscore,KCR,,DET,L,7,10,,21-29,5,6.5,Rodriguez,Soria,Wilson,3:40,N,"28,419",--
51,"Tuesday, May 30",boxscore,KCR,,DET,W,1,0,,22-29,5,5.5,Skoglund,Verlander,Herrera,2:45,N,"21,864",+
52,"Wednesday, May 31",boxscore,KCR,,DET,L,5,6,,22-30,5,5.5,Saupold,Kennedy,Wilson,3:19,N,"24,347",-
Gm#,June,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
53,"Friday, Jun 2",boxscore,KCR,,CLE,W,4,0,,23-30,5,6,Vargas,Tomlin,,2:19,N,"33,408",+
