Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,"Monday, Apr 3",boxscore,MIN,,KCR,W,7,1,,1-0,1,Tied,Santana,Strahm,,2:47,D,"39,615",+
2,"Wednesday, Apr 5",boxscore,MIN,,KCR,W,9,1,,2-0,2,0.5,Santiago,Kennedy,,3:06,D,"15,171",++
3,"Thursday, Apr 6",boxscore,MIN,,KCR,W,5,3,,3-0,1,Tied,Rogers,Minor,Kintzler,3:14,D,"16,078",+++
4,"Friday, Apr 7",boxscore,MIN,@,CHW,W,3,1,,4-0,1,up 1.0,Hughes,Holland,Kintzler,2:59,N,"14,004",++++
5,"Saturday, Apr 8",boxscore,MIN,@,CHW,L,2,6,,4-1,1,up 0.5,Gonzalez,Mejia,,2:56,D,"23,024",-
6,"Sunday, Apr 9",boxscore,MIN,@,CHW,W,4,1,,5-1,1,up 1.5,Santana,Quintana,Kintzler,3:07,D,"24,074",+
7,"Tuesday, Apr 11",boxscore,MIN,@,DET,L,1,2,,5-2,1,Tied,Boyd,Santiago,Rodriguez,2:39,D,"21,237",-
8,"Wednesday, Apr 12",boxscore,MIN,@,DET,L,3,5,,5-3,2,1,Fulmer,Gibson,Wilson,2:48,D,"23,738",--
9,"Thursday, Apr 13",boxscore,MIN,@,DET,W,11,5,,6-3,1,Tied,Hughes,Zimmermann,Haley,3:31,D,"22,573",+
10,"Friday, Apr 14",boxscore,MIN,,CHW,L,1,2,,6-4,2,1,Jennings,Pressly,Robertson,3:06,N,"18,466",-
11,"Saturday, Apr 15",boxscore,MIN,,CHW,W,6,0,,7-4,1,Tied,Santana,Quintana,,2:26,D,"25,938",+
12,"Sunday, Apr 16",boxscore,MIN,,CHW,L,1,3,10,7-5,2,1,Jones,Pressly,Robertson,3:15,D,"19,511",-
13,"Monday, Apr 17",boxscore,MIN,,CLE,L,1,3,,7-6,2,1.5,Salazar,Gibson,Allen,2:58,N,"16,961",--
14,"Tuesday, Apr 18",boxscore,MIN,,CLE,L,4,11,,7-7,3,1.5,Tomlin,Hughes,,3:15,N,"16,553",---
15,"Thursday, Apr 20",boxscore,MIN,,CLE,L,2,6,,7-8,4,1,Bauer,Duffey,,3:36,D,"17,339",----
16,"Friday, Apr 21",boxscore,MIN,,DET,W,6,3,,8-8,2,1,Santiago,Verlander,Kintzler,2:59,N,"22,647",+
17,"Saturday, Apr 22",boxscore,MIN,,DET,L,4,5,,8-9,3,2,Hardy,Tonkin,Rodriguez,4:00,D,"25,719",-
18,"Sunday, Apr 23",boxscore,MIN,,DET,L,4,13,,8-10,4,2,Fulmer,Gibson,,3:17,D,"26,713",--
19,"Monday, Apr 24",boxscore,MIN,@,TEX,W,3,2,,9-10,4,1.5,Hughes,Perez,Kintzler,3:01,N,"19,027",+
20,"Tuesday, Apr 25",boxscore,MIN,@,TEX,W,8,1,,10-10,4,1.5,Santana,Cashner,,3:04,N,"20,568",++
21,"Wednesday, Apr 26",boxscore,MIN,@,TEX,L,3,14,,10-11,4,1.5,Hamels,Rogers,,3:37,N,"22,365",-
22,"Friday, Apr 28",boxscore,MIN,@,KCR,W,6,4,,11-11,3,1.5,Breslow,Soria,Kintzler,3:20,N,"27,911",+
23,"Sunday, Apr 30",boxscore,MIN,@,KCR,W,7,5,,12-11,3,1.5,Hughes,Hammel,Kintzler,3:11,D,"32,685",++
Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
24,"Tuesday, May 2",boxscore,MIN,,OAK,W,9,1,,13-11,2,0.5,Santana,Gray,,2:48,N,"18,930",+++
25,"Wednesday, May 3",boxscore,MIN,,OAK,W,7,4,,14-11,1,Tied,Santiago,Graveman,,3:17,N,"18,658",++++
26,"Thursday, May 4",boxscore,MIN,,OAK,L,5,8,,14-12,3,0.5,Cotton,Gibson,Casilla,3:48,D,"19,247",-
27,"Friday, May 5",boxscore,MIN,,BOS,W-wo,4,3,,15-12,1,up 0.5,Kintzler,Barnes,,3:24,N,"28,707",+
28,"Saturday, May 6",boxscore,MIN,,BOS,L,1,11,,15-13,2,0.5,Porcello,Tepesch,,3:03,D,"30,859",-
29,"Sunday, May 7",boxscore,MIN,,BOS,L,6,17,,15-14,2,1.5,Sale,Santana,,3:46,D,"31,763",--
30,"Tuesday, May 9",boxscore,MIN,@,CHW,W,7,2,,16-14,2,1,Santiago,Pelfrey,,2:58,N,"14,498",+
31,"Thursday, May 11",boxscore,MIN,@,CHW,W,7,6,,17-14,1,Tied,Pressly,Holland,Kintzler,3:27,N,"16,084",++
32,"Friday, May 12",boxscore,MIN,@,CLE,W,1,0,,18-14,1,up 1.0,Santana,Tomlin,Kintzler,2:30,N,"24,452",+++
33,"Saturday, May 13",boxscore,MIN,@,CLE,W,4,1,,19-14,1,up 2.0,Berrios,Clevinger,Kintzler,2:57,D,"28,379",++++
34,"Sunday, May 14",boxscore,MIN,@,CLE,L,3,8,,19-15,1,up 1.0,Bauer,Santiago,,3:00,D,"23,099",-
35,"Tuesday, May 16",boxscore,MIN,,COL,L,3,7,,19-16,1,up 0.5,Freeland,Hughes,Holland,3:13,N,"24,295",--
36,"Thursday, May 18 (1)",boxscore,MIN,,COL,L,1,5,,19-17,1,up 1.0,Marquez,Santana,Holland,2:53,D,"20,603",---
37,"Thursday, May 18 (2)",boxscore,MIN,,COL,W,2,0,,20-17,1,up 1.0,Berrios,Chatwood,Kintzler,2:52,N,"17,140",+
38,"Friday, May 19",boxscore,MIN,,KCR,W-wo,4,3,10,21-17,1,up 1.0,Kintzler,Alburquerque,,3:20,N,"23,553",++
39,"Sunday, May 21 (1)",boxscore,MIN,,KCR,L,4,6,,21-18,1,Tied,Minor,Hughes,Herrera,3:21,D,,-
40,"Sunday, May 21 (2)",boxscore,MIN,,KCR,W,8,4,,22-18,1,Tied,Mejia,Kennedy,,2:29,D,"27,852",+
41,"Monday, May 22",boxscore,MIN,@,BAL,W,14,7,,23-18,1,up 1.0,Gibson,Wilson,,3:31,N,"12,882",++
42,"Tuesday, May 23",boxscore,MIN,@,BAL,W,2,0,,24-18,1,up 1.0,Santana,Bundy,,2:23,N,"13,294",+++
43,"Wednesday, May 24",boxscore,MIN,@,BAL,W,4,3,,25-18,1,up 2.0,Berrios,Tillman,Kintzler,3:00,D,"32,267",++++
44,"Friday, May 26",boxscore,MIN,,TBR,L,2,5,,25-19,1,up 2.0,Archer,Santiago,Colome,3:04,N,"20,949",-
45,"Saturday, May 27",boxscore,MIN,,TBR,W,5,3,,26-19,1,up 3.0,Rogers,Farquhar,Kintzler,3:35,D,"27,531",+
46,"Sunday, May 28",boxscore,MIN,,TBR,L,6,8,15,26-20,1,up 2.0,Colome,Santiago,Ramirez,6:26,D,"28,951",-
47,"Monday, May 29",boxscore,MIN,,HOU,L,8,16,,26-21,1,up 1.0,Jankowski,Breslow,,3:44,D,"24,472",--
48,"Tuesday, May 30",boxscore,MIN,,HOU,L,2,7,,26-22,1,Tied,Fiers,Berrios,,3:01,N,"22,616",---
49,"Wednesday, May 31",boxscore,MIN,,HOU,L,6,17,,26-23,1,Tied,Feliz,Santiago,,3:35,D,"25,593",----
Gm#,June,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
50,"Thursday, Jun 1",boxscore,MIN,@,LAA,W,4,2,,27-23,1,Tied,Rogers,Alvarez,Kintzler,3:19,N,"33,426",+
51,"Friday, Jun 2",boxscore,MIN,@,LAA,W,11,5,,28-23,1,up 1.0,Gibson,Ramirez,,3:19,N,"39,042",++
52,"Saturday, Jun 3",boxscore,MIN,@,LAA,L,2,7,,28-24,1,up 1.0,Shoemaker,Santana,,3:18,N,"40,236",-
53,"Sunday, Jun 4",boxscore,MIN,@,LAA,W,3,2,,29-24,1,up 1.0,Berrios,Nolasco,Kintzler,3:13,D,"39,701",+
54,"Tuesday, Jun 6",boxscore,MIN,@,SEA,L,3,12,,29-25,1,up 1.0,Paxton,Santiago,,3:26,N,"18,166",-
55,"Wednesday, Jun 7",boxscore,MIN,@,SEA,L-wo,5,6,,29-26,1,up 1.0,Diaz,Kintzler,,2:43,N,"15,732",--
56,"Thursday, Jun 8",boxscore,MIN,@,SEA,W,2,1,,30-26,1,up 1.5,Gibson,Bergman,Kintzler,2:51,N,"15,621",+
57,"Friday, Jun 9",boxscore,MIN,@,SFG,W,4,0,,31-26,1,up 1.5,Santana,Moore,,2:27,N,"41,046",++
58,"Saturday, Jun 10",boxscore,MIN,@,SFG,W,3,2,,32-26,1,up 2.5,Berrios,Samardzija,Kintzler,2:43,D,"41,255",+++
59,"Sunday, Jun 11",boxscore,MIN,@,SFG,L,8,13,,32-27,1,up 1.5,Osich,Belisle,,3:43,D,"41,321",-
