Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,"Sunday, Apr 2",boxscore,NYY,@,TBR,L,3,7,,0-1,5,1,Archer,Tanaka,Colome,3:21,D,"31,042",-
2,"Tuesday, Apr 4",boxscore,NYY,@,TBR,W,5,0,,1-1,3,0.5,Sabathia,Odorizzi,,3:07,N,"19,366",+
3,"Wednesday, Apr 5",boxscore,NYY,@,TBR,L,1,4,,1-2,4,1.5,Cobb,Pineda,Colome,3:17,N,"12,737",-
4,"Friday, Apr 7",boxscore,NYY,@,BAL,L,5,6,,1-3,4,2.5,Hart,Clippard,Britton,3:20,N,"25,248",--
5,"Saturday, Apr 8",boxscore,NYY,@,BAL,L,4,5,,1-4,4,3.5,Givens,Betances,Britton,3:35,D,"38,916",---
6,"Sunday, Apr 9",boxscore,NYY,@,BAL,W,7,3,,2-4,4,2.5,Betances,O'Day,,3:22,D,"42,487",+
7,"Monday, Apr 10",boxscore,NYY,,TBR,W,8,1,,3-4,4,2,Pineda,Cobb,,2:37,D,"46,955",++
8,"Wednesday, Apr 12",boxscore,NYY,,TBR,W,8,4,,4-4,3,1.5,Mitchell,Diaz,Chapman,3:33,D,"38,002",+++
9,"Thursday, Apr 13",boxscore,NYY,,TBR,W,3,2,,5-4,2,1.5,Severino,Cedeno,Chapman,2:59,N,"34,772",++++
10,"Friday, Apr 14",boxscore,NYY,,STL,W,4,3,,6-4,2,1.5,Tanaka,Wacha,Chapman,2:54,N,"39,102",+++++
11,"Saturday, Apr 15",boxscore,NYY,,STL,W,3,2,,7-4,2,0.5,Sabathia,Martinez,Clippard,3:05,D,"43,031",++++++
12,"Sunday, Apr 16",boxscore,NYY,,STL,W,9,3,,8-4,2,0.5,Pineda,Wainwright,,3:17,N,"31,706",+++++++
13,"Monday, Apr 17",boxscore,NYY,,CHW,W,7,4,,9-4,1,Tied,Montgomery,Holland,Chapman,2:49,N,"28,181",++++++++
14,"Tuesday, Apr 18",boxscore,NYY,,CHW,L,1,4,,9-5,1,Tied,Gonzalez,Severino,Robertson,2:16,N,"30,075",-
15,"Wednesday, Apr 19",boxscore,NYY,,CHW,W,9,1,,10-5,1,Tied,Tanaka,Covey,,2:40,N,"30,014",+
16,"Friday, Apr 21",boxscore,NYY,@,PIT,L,3,6,,10-6,2,1.5,Nicasio,Sabathia,Watson,3:19,N,"30,565",-
17,"Saturday, Apr 22",boxscore,NYY,@,PIT,W,11,5,,11-6,2,1.5,Betances,Rivero,,3:17,D,"36,140",+
18,"Sunday, Apr 23",boxscore,NYY,@,PIT,L,1,2,,11-7,2,1.5,Nova,Montgomery,Watson,2:39,D,"27,840",-
19,"Wednesday, Apr 26",boxscore,NYY,@,BOS,W,3,1,,12-7,2,1.5,Severino,Porcello,Chapman,3:16,N,"32,072",+
20,"Thursday, Apr 27",boxscore,NYY,@,BOS,W,3,0,,13-7,2,1,Tanaka,Sale,,2:21,N,"34,054",++
21,"Friday, Apr 28",boxscore,NYY,,BAL,W-wo,14,11,10,14-7,1,Tied,Chapman,Aquino,,3:41,N,"36,912",+++
22,"Saturday, Apr 29",boxscore,NYY,,BAL,W,12,4,,15-7,1,up 1.0,Pineda,Jimenez,,3:12,D,"37,303",++++
23,"Sunday, Apr 30",boxscore,NYY,,BAL,L,4,7,11,15-8,1,Tied,Verrett,Mitchell,,4:37,D,"41,022",-
Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
24,"Monday, May 1",boxscore,NYY,,TOR,L,1,7,,15-9,2,1,Estrada,Severino,,2:58,N,"25,566",--
25,"Tuesday, May 2",boxscore,NYY,,TOR,W,11,5,,16-9,1,Tied,Tanaka,Latos,,3:31,N,"30,058",+
26,"Wednesday, May 3",boxscore,NYY,,TOR,W,8,6,,17-9,1,up 1.0,Betances,Biagini,Chapman,3:39,N,"35,559",++
27,"Friday, May 5",boxscore,NYY,@,CHC,W,3,2,,18-9,1,up 0.5,Holder,Rondon,Chapman,3:17,D,"40,395",+++
28,"Saturday, May 6",boxscore,NYY,@,CHC,W,11,6,,19-9,1,up 0.5,Montgomery,Anderson,,3:19,N,"40,735",++++
29,"Sunday, May 7",boxscore,NYY,@,CHC,W,5,4,18,20-9,1,up 0.5,Shreve,Strop,,6:05,N,"40,584",+++++
30,"Monday, May 8",boxscore,NYY,@,CIN,W,10,4,,21-9,1,up 0.5,Tanaka,Davis,,3:28,N,"25,960",++++++
31,"Tuesday, May 9",boxscore,NYY,@,CIN,L,3,5,,21-10,2,0.5,Adleman,Sabathia,Iglesias,2:49,N,"22,035",-
32,"Thursday, May 11",boxscore,NYY,,HOU,L,2,3,,21-11,2,0.5,Keuchel,Pineda,Giles,3:09,N,"39,050",--
33,"Friday, May 12",boxscore,NYY,,HOU,L,1,5,,21-12,2,0.5,McCullers,Montgomery,,3:09,N,"41,150",---
34,"Sunday, May 14 (1)",boxscore,NYY,,HOU,W,11,6,,22-12,1,up 0.5,Warren,Harris,,3:20,D,,+
35,"Sunday, May 14 (2)",boxscore,NYY,,HOU,L,7,10,,22-13,1,up 0.5,Morton,Tanaka,,3:49,D,"47,883",-
36,"Tuesday, May 16",boxscore,NYY,@,KCR,W,7,1,,23-13,1,up 0.5,Sabathia,Hammel,,3:02,N,"30,878",+
37,"Wednesday, May 17",boxscore,NYY,@,KCR,W,11,7,,24-13,1,up 1.5,Pineda,Vargas,Betances,3:23,N,"22,899",++
38,"Thursday, May 18",boxscore,NYY,@,KCR,L,1,5,,24-14,1,up 1.5,Duffy,Montgomery,,2:34,N,"22,803",-
39,"Friday, May 19",boxscore,NYY,@,TBR,L,4,5,,24-15,1,up 0.5,Farquhar,Clippard,Colome,3:18,N,"21,146",--
40,"Saturday, May 20",boxscore,NYY,@,TBR,L,5,9,,24-16,2,0.5,Andriese,Tanaka,,3:50,D,"22,864",---
41,"Sunday, May 21",boxscore,NYY,@,TBR,W,3,2,,25-16,1,up 0.5,Sabathia,Archer,Betances,3:26,D,"20,873",+
42,"Monday, May 22",boxscore,NYY,,KCR,W,4,2,,26-16,1,up 1.5,Pineda,Vargas,Betances,2:42,N,"35,005",++
43,"Tuesday, May 23",boxscore,NYY,,KCR,L,2,6,,26-17,1,up 1.5,Duffy,Warren,,2:47,N,"35,931",-
44,"Wednesday, May 24",boxscore,NYY,,KCR,W,3,0,,27-17,1,up 2.5,Severino,Hammel,Betances,2:40,N,"34,610",+
45,"Friday, May 26",boxscore,NYY,,OAK,L,1,4,,27-18,1,up 2.0,Manaea,Tanaka,,3:09,N,"39,044",-
46,"Saturday, May 27",boxscore,NYY,,OAK,W,3,2,,28-18,1,up 2.0,Sabathia,Cotton,Betances,3:14,D,"40,218",+
47,"Sunday, May 28",boxscore,NYY,,OAK,W,9,5,,29-18,1,up 3.0,Pineda,Triggs,Warren,3:09,D,"45,232",++
48,"Monday, May 29",boxscore,NYY,@,BAL,L,2,3,,29-19,1,up 3.0,Bundy,Montgomery,Brach,2:54,D,"40,242",-
49,"Tuesday, May 30",boxscore,NYY,@,BAL,W,8,3,,30-19,1,up 3.0,Severino,Tillman,,3:19,N,"16,126",+
50,"Wednesday, May 31",boxscore,NYY,@,BAL,L,4,10,,30-20,1,up 2.0,Gausman,Tanaka,,3:18,N,"22,983",-
Gm#,June,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
51,"Thursday, Jun 1",boxscore,NYY,@,TOR,W,12,2,,31-20,1,up 3.0,Sabathia,Estrada,,3:10,N,"37,722",+
52,"Friday, Jun 2",boxscore,NYY,@,TOR,L,5,7,,31-21,1,up 2.5,Liriano,Pineda,Osuna,3:13,N,"44,261",-
53,"Saturday, Jun 3",boxscore,NYY,@,TOR,W,7,0,,32-21,1,up 3.0,Montgomery,Biagini,,3:00,D,"47,226",+
